m/z	SN	QualityFactor	Resolution	intensity	area
1011.542	4.857	1205.5	7422.5	228.4	60.2
1045.470	9.615	9708.6	9441.5	449.5	99.0
1083.971	3.006	251.5	8498.4	139.1	36.3
1095.923	2.670	392.5	11530.3	123.3	24.6
1097.934	2.912	524.2	10177.6	134.2	29.4
1101.946	2.802	93.4	6310.7	129.1	46.2
1117.926	2.555	80.0	3302.1	117.2	81.0
1135.390	2.164	31.1	3104.9	99.3	76.6
1144.546	2.072	159.3	5817.0	95.2	38.9
1501.743	2.006	125.7	8248.6	83.2	38.8
1570.677	9.878	6349.3	9579.4	398.9	174.6
1572.675	6.270	8589.1	14658.1	261.6	76.4
2147.203	12.918	56597.8	14091.9	356.6	181.6
2211.100	8.630	7264.8	11457.7	223.1	142.5
2225.115	2.989	279.1	10010.6	76.2	56.1
2233.088	7.728	5154.3	12500.0	197.7	118.3
2268.001	2.082	84.3	5426.7	51.0	70.1
2283.167	5.369	2768.7	11664.3	131.7	88.6
2305.151	3.901	373.3	10047.1	92.7	70.5
2780.442	2.122	47.6	15318.8	34.1	23.6
2919.218	2.132	73.2	6199.7	30.3	57.0
2932.588	12.324	7346.8	12853.0	176.2	153.2
2948.576	2.825	165.0	10096.8	39.8	43.9


