m/z	SN	QualityFactor	Resolution	intensity	area
1011.593	18.002	20475.5	7266.0	1758.8	482.3
1032.523	2.587	126.8	5011.3	252.4	102.4
1045.518	28.363	17930.3	7306.6	2751.1	784.5
1067.524	4.196	651.1	6850.7	407.1	128.4
1074.055	2.122	313.9	5431.7	205.1	82.3
1074.568	2.356	216.8	7130.9	227.4	70.0
1095.995	2.021	71.8	7063.4	194.4	61.8
1189.957	2.270	177.7	686.2	177.1	685.9
1274.716	4.724	1438.8	9252.1	450.4	147.0
1282.530	2.383	378.0	2991.2	227.0	227.8
1296.683	161.675	76013.2	8579.5	15537.1	5474.4
1314.662	5.774	3107.9	8087.6	553.0	210.5
1318.655	8.212	1904.2	7172.1	784.7	334.9
1334.655	2.823	119.5	8545.8	267.1	99.4
1338.823	16.214	7879.7	7552.3	1540.0	644.3
1352.614	13.842	3341.2	6629.8	1304.0	627.2
1354.620	5.857	653.4	8088.4	553.2	219.7
1408.547	2.830	284.0	6830.0	262.1	131.6
1410.537	2.033	88.0	8551.2	188.1	75.5
1432.654	3.475	425.8	8674.1	320.5	130.4
1441.704	2.501	462.3	6252.7	230.6	132.8
1464.684	2.989	41.0	2941.7	274.3	377.2
1467.313	6.614	676.2	5378.1	606.2	414.9
1475.805	2.372	130.4	7598.0	217.0	109.1
1501.749	7.670	3757.9	8659.9	693.7	312.8
1517.760	2.940	326.0	7968.1	263.1	130.0
1529.739	13.710	16303.2	9367.0	1232.3	533.5
1541.869	4.937	3415.7	10352.1	436.8	172.9
1552.683	5.182	698.1	7546.5	455.7	250.1
1555.617	2.671	343.0	3228.3	234.4	298.1
1562.806	2.793	460.3	10320.1	245.9	102.2
1570.680	162.165	43227.8	9744.1	14279.9	6229.6
1572.701	24.356	3207.9	11167.5	2143.2	807.1
1592.672	6.658	1770.1	9413.9	578.2	268.9
1598.683	7.313	6092.1	8996.9	633.2	310.5
1625.995	2.214	47.9	5232.5	189.9	165.3
1627.607	3.638	249.2	5750.6	313.2	245.0
1637.770	7.495	3419.0	9756.0	646.6	303.7
1666.007	9.718	7682.4	9222.9	826.7	428.1
1833.888	2.891	258.8	7301.9	234.4	183.6
1886.885	2.133	222.9	4758.6	166.6	209.8
1950.995	2.513	363.0	5612.6	183.9	204.2
1963.862	5.865	1503.5	8734.3	421.2	305.4
2033.111	2.372	308.2	5298.5	157.8	194.0
2097.963	2.365	605.9	4526.7	144.6	222.3
2101.203	2.520	225.7	19696.9	155.2	55.7
2103.191	3.961	865.5	10226.2	245.1	164.0
2112.025	9.436	2230.4	5729.1	572.7	686.0
2118.753	2.870	426.3	4110.4	162.9	305.1
2130.142	4.487	59.2	4587.0	267.7	400.4
2132.917	20.997	11783.1	4880.5	1244.8	1813.4
2147.193	205.563	36758.2	10954.1	12166.5	7841.3
2154.808	2.798	211.6	18738.3	164.4	62.0
2160.161	3.469	133.2	12150.5	201.5	115.7
2163.183	11.469	19415.3	12199.8	667.6	400.2
2169.174	10.476	20988.0	12649.3	608.4	350.4
2179.183	3.273	1404.0	16793.9	191.0	83.9
2185.139	6.804	3788.8	11476.7	385.4	241.2
2188.919	2.155	152.9	3615.2	119.6	238.6
2203.112	23.633	9563.4	11343.7	1305.4	837.7
2206.130	5.157	287.3	9919.8	286.4	210.6
2211.107	50.744	36222.3	11416.3	2796.1	1815.8
2225.110	18.374	21070.0	13556.0	994.9	558.9
2233.082	14.444	17027.3	12356.2	777.8	470.4
2248.066	3.229	189.9	4567.4	171.0	275.4
2257.070	3.170	66.9	14092.1	170.5	90.1
2260.054	5.630	985.7	7783.2	296.3	288.2
2263.036	3.755	117.3	14185.6	201.3	106.2
2267.030	6.384	1678.6	7936.6	333.9	317.5
2269.023	4.813	599.9	15817.8	250.1	119.4
2283.172	21.313	15609.7	9796.4	1089.0	854.5
2299.171	7.608	2622.0	9817.1	383.2	300.5
2305.111	3.594	486.4	5535.3	180.6	249.4
2779.432	3.211	230.9	6643.6	100.6	152.3
2779.936	3.553	442.5	16359.1	114.1	74.6
2893.887	4.493	85.7	6444.6	124.7	212.0
2896.161	9.766	562.1	5144.9	270.7	563.5
2918.248	13.881	3351.8	5847.5	375.2	726.6
2932.589	134.474	38399.1	11905.5	3627.7	3433.1
2948.590	22.390	10278.2	10630.9	597.1	632.9
2954.553	5.703	475.6	8086.3	151.3	209.9
2964.582	3.325	405.5	16834.9	87.4	62.2
2970.563	3.017	182.6	12989.7	79.4	70.2
2988.516	9.397	2805.5	11718.8	242.9	239.6
2992.517	3.104	135.5	15132.6	79.8	60.5
3076.631	2.414	107.8	11184.5	57.7	62.0
3323.762	5.836	415.9	9380.9	110.9	163.4
3337.796	9.064	3206.8	10579.4	170.7	226.6


