m/z	SN	QualityFactor	Resolution	intensity	area
1011.590	63.345	37272.3	7275.7	7029.9	1924.9
1017.998	2.126	106.4	3306.3	235.7	138.6
1033.587	5.142	1925.0	5479.8	568.9	212.9
1045.523	99.988	26138.5	6615.3	11061.7	3503.2
1067.515	13.311	8955.7	6792.9	1460.8	463.9
1079.017	2.170	61.0	7581.8	238.6	71.3
1101.466	4.240	160.6	3324.6	455.5	306.5
1103.011	3.362	124.0	6704.8	362.7	125.6
1103.471	2.621	76.3	4237.1	280.6	148.6
1118.121	2.160	97.0	1385.8	229.7	383.4
1123.503	2.508	141.1	1879.0	267.1	327.4
1153.386	3.036	170.2	971.0	301.5	750.7
1296.684	46.349	38572.0	8269.9	4707.1	1719.6
1314.700	3.630	492.8	4789.8	367.4	232.7
1318.665	4.463	1089.4	8498.8	450.7	168.8
1338.828	16.103	12473.5	7371.9	1620.5	698.8
1352.623	3.650	263.1	5092.6	366.6	230.5
1529.730	3.639	301.1	5828.4	331.1	226.2
1570.678	32.306	24294.7	9236.9	2865.0	1316.5
1625.940	4.589	399.2	5952.8	392.9	297.9
1666.008	12.422	8026.1	8544.4	1052.9	586.3
1962.912	2.308	140.7	5389.7	162.1	188.2
2112.020	2.458	448.3	3673.7	147.9	275.6
2132.915	6.687	2724.9	4688.6	394.9	600.1
2147.200	58.889	54537.9	10891.7	3471.4	2276.3
2163.183	2.318	166.8	6638.5	133.5	141.3
2169.187	5.540	1788.5	9529.9	317.1	236.4
2185.133	2.916	343.8	9598.5	165.1	122.9
2196.849	3.198	498.4	4027.9	175.2	322.2
2203.112	6.856	2335.8	10042.0	378.4	273.7
2206.124	2.744	37.6	10069.7	151.5	108.9
2211.102	73.509	34429.1	10909.4	4079.9	2754.6
2225.116	21.306	40733.1	12657.5	1171.3	698.6
2233.078	50.480	24362.1	10847.4	2742.5	1883.0
2245.693	4.701	257.0	7571.9	251.8	245.3
2247.077	9.620	3765.0	7721.6	516.5	498.9
2249.060	11.375	4042.0	20511.1	608.5	232.5
2255.065	6.447	3599.9	13568.3	348.5	199.6
2265.107	2.864	86.0	9836.0	152.5	117.5
2267.000	7.090	700.9	31154.2	397.8	111.2
2268.015	7.937	757.3	5177.2	417.2	604.2
2270.576	2.296	64.5	11589.6	120.8	82.5
2271.047	5.991	1072.3	14130.8	317.3	171.1
2283.175	37.786	19883.2	9963.4	1963.0	1511.1
2289.017	4.649	316.4	8535.8	240.3	214.5
2299.168	12.873	4110.6	10655.8	658.8	474.7
2305.143	16.890	5332.8	7624.5	864.4	871.6
2321.138	7.408	1073.0	8876.6	372.9	326.4
2324.959	2.533	79.5	6672.6	127.2	147.9
2707.393	4.165	529.2	7803.2	145.6	181.1
2720.297	2.223	155.3	7553.3	76.9	100.5
2779.444	8.330	510.8	7427.2	274.8	371.4
2779.949	7.162	1671.0	16410.3	236.5	153.1
2807.302	2.704	100.3	9267.5	86.7	96.1
2897.138	2.227	205.4	4832.7	63.3	149.4
2918.248	3.699	349.6	4857.0	105.8	236.9
2932.588	27.516	22751.3	11332.6	779.9	774.7
2948.606	3.245	271.4	5794.2	90.7	174.2
2954.557	2.201	103.5	6033.2	61.1	112.8
3323.765	12.391	2556.9	9580.7	246.5	355.6
3337.786	19.562	8777.9	11475.2	385.0	471.1


