m/z	SN	QualityFactor	Resolution	intensity	area
1011.581	11.003	12600.6	7764.6	670.9	172.2
1045.512	21.512	12984.8	7870.7	1300.2	342.9
1153.224	3.278	171.4	3565.7	193.1	157.0
1296.680	14.361	12812.5	9112.4	830.7	274.3
1338.810	3.022	325.6	6956.7	172.2	77.4
1529.734	2.765	158.0	8558.4	146.7	68.3
1570.687	33.179	131240.1	12540.7	1731.1	594.6
1665.985	2.147	93.6	3478.8	107.7	145.9
2132.889	3.601	587.1	3796.1	132.1	244.4
2147.195	46.392	46398.2	13653.0	1703.4	886.0
2163.198	2.951	379.3	13217.9	108.4	57.4
2169.165	3.403	400.1	8346.0	122.3	103.9
2185.139	2.712	160.3	12955.8	97.6	54.2
2196.827	2.681	451.1	4000.8	93.2	169.4
2203.111	5.764	525.5	10388.2	201.4	140.6
2206.099	2.392	42.9	8883.3	83.0	67.4
2211.100	77.314	55857.4	13464.3	2693.5	1468.8
2225.110	19.057	25115.7	13793.2	654.8	353.1
2233.080	33.282	69486.4	14557.5	1164.0	598.8
2248.065	9.938	6157.6	15133.1	333.7	172.4
2250.012	2.806	233.0	13160.6	94.1	53.4
2255.049	4.518	534.7	14828.6	152.0	79.5
2267.024	11.648	2161.3	10441.8	385.1	279.1
2270.028	4.922	479.5	16064.3	166.5	78.5
2283.164	15.620	14789.3	13192.9	521.7	311.1
2290.004	3.997	262.3	16293.0	130.1	60.4
2299.166	9.294	2346.2	12077.1	303.8	194.2
2305.086	3.439	384.4	5345.7	110.8	159.6
2322.959	2.677	140.7	7678.7	85.3	86.3
2326.942	2.233	76.2	22736.0	74.3	25.3
2779.414	5.928	311.6	7841.3	130.2	166.6
2779.944	6.476	1084.2	17375.4	146.3	89.5
2807.335	2.165	84.3	7265.2	46.6	65.8
2932.591	18.794	10439.7	13707.3	360.9	296.2
2948.584	3.791	143.0	10309.7	72.3	78.3
3323.761	5.983	558.4	11410.3	85.2	103.4
3337.788	10.827	4115.6	13534.4	151.4	157.6
3353.789	2.064	60.9	10464.3	28.7	38.6


