m/z	SN	QualityFactor	Resolution	intensity	area
1011.596	21.398	16990.5	5612.8	2862.8	1016.0
1045.523	60.631	26475.1	5698.9	8037.6	2954.9
1067.534	5.133	821.2	3950.4	674.4	366.0
1101.473	4.258	208.5	2739.2	550.8	446.7
1103.467	2.688	133.0	4005.9	348.2	195.7
1153.383	2.701	158.4	966.0	324.7	813.5
1172.122	2.068	488.8	251.8	209.0	2150.7
1189.471	2.040	280.9	262.1	204.8	2068.6
1274.716	2.161	385.8	5049.7	267.9	152.0
1296.682	59.397	23303.6	6687.1	7401.0	3316.3
1314.673	7.276	6707.4	6598.6	894.0	415.4
1318.658	2.679	274.6	5140.4	330.0	196.7
1338.824	13.823	10101.5	6427.0	1700.9	839.5
1352.627	6.824	2444.5	5672.2	835.9	474.6
1354.607	3.241	136.6	5477.1	395.8	229.9
1466.790	2.409	115.8	3305.9	279.3	310.1
1529.739	7.002	2785.9	5971.7	781.8	522.7
1562.809	2.478	869.4	7647.9	268.8	147.8
1570.683	50.700	60355.1	8159.5	5489.2	2883.2
1625.940	2.816	177.2	4420.9	293.3	297.5
1627.588	2.196	159.3	7204.7	228.7	145.0
1637.766	2.334	475.7	10288.4	246.1	108.3
1666.007	8.914	3388.3	6257.2	914.6	689.8
1940.938	2.866	1078.0	7470.3	250.1	208.7
2112.022	4.294	454.8	4624.0	305.1	451.4
2130.077	2.505	99.7	4357.4	174.7	279.6
2132.917	10.500	6874.9	4651.7	729.3	1118.0
2147.199	99.274	60916.5	9391.0	6860.2	5225.2
2163.175	3.018	240.5	6674.7	204.0	214.9
2169.167	6.034	1934.3	8388.6	406.0	341.6
2185.142	5.533	4826.2	11762.1	366.1	236.0
2196.807	4.458	3517.7	6011.1	286.9	381.3
2203.119	16.988	12674.2	9815.4	1110.6	836.7
2211.099	95.405	30142.3	9105.1	6190.1	4995.6
2225.110	28.805	27827.8	9808.6	1838.3	1393.5
2233.075	28.826	47385.4	9938.8	1830.7	1371.4
2245.114	2.200	62.5	1682.1	110.5	489.8
2248.063	8.863	3465.2	7988.1	554.5	521.6
2250.042	4.860	299.4	18454.6	313.2	129.3
2259.060	5.277	990.9	7152.3	326.0	342.3
2264.038	2.116	31.3	14858.7	107.9	70.4
2267.017	17.331	5178.2	7291.2	1066.5	1101.9
2270.015	5.548	892.8	10245.3	343.9	252.2
2283.172	29.535	19296.5	8150.5	1789.6	1683.1
2289.000	3.564	233.3	8576.9	216.0	191.8
2299.173	12.854	8450.4	9794.9	768.1	604.6
2305.087	6.639	1220.0	5486.8	393.9	552.9
2321.139	2.367	537.9	4053.1	138.7	261.3
2323.964	5.092	367.8	5669.0	298.9	409.3
2339.074	2.520	214.9	4308.2	145.3	262.6
2379.962	2.032	138.6	4117.3	112.3	221.2
2779.431	3.868	221.7	5253.1	141.8	272.6
2780.938	2.800	40.5	23733.9	106.7	46.5
2896.016	2.953	154.6	2557.6	85.6	361.2
2918.229	5.125	334.5	4249.4	161.0	411.9
2932.590	54.937	30517.5	9740.4	1732.2	2003.5
2948.589	6.320	542.5	6016.9	195.4	362.6
2954.586	3.579	357.4	5321.6	109.8	232.2
2989.521	4.098	432.3	8109.7	122.5	173.8
3323.749	5.905	595.3	6799.7	128.0	259.8
3337.775	9.470	1821.5	8271.0	202.6	341.5


