m/z	SN	QualityFactor	Resolution	intensity	area
1011.606	11.466	24717.7	6574.9	1356.2	412.8
1045.537	43.209	42369.9	6831.6	5098.6	1567.6
1062.477	2.642	135.2	3351.4	306.9	191.0
1067.539	4.155	453.4	5282.2	480.6	192.8
1080.023	2.490	133.1	6561.7	288.3	95.4
1084.032	2.518	183.7	6664.2	290.7	95.0
1096.003	2.195	117.9	7722.6	252.4	72.0
1101.457	3.624	104.3	3078.6	416.0	300.1
1103.475	3.056	96.7	6587.6	353.7	124.1
1103.989	2.274	108.0	3170.2	260.9	183.6
1117.997	3.348	110.8	3560.0	382.4	245.5
1135.439	2.012	52.7	3336.7	229.7	171.1
1198.683	2.903	237.1	3096.9	326.4	271.4
1274.713	2.170	256.1	9720.2	239.9	71.1
1296.685	40.304	36432.8	8419.5	4409.8	1576.1
1314.670	6.769	11055.4	7945.4	737.6	286.5
1318.667	2.863	489.2	8691.9	315.1	112.1
1338.824	5.822	1380.2	6514.4	628.4	304.3
1352.635	4.035	656.4	5759.2	435.5	243.6
1354.628	3.040	156.1	7123.0	326.5	147.2
1377.734	2.745	267.2	3888.3	292.1	247.6
1441.777	4.723	1145.0	5638.9	485.6	309.2
1449.786	2.813	139.4	4230.4	286.3	242.0
1454.754	2.022	281.6	2738.0	205.4	314.9
1464.784	2.613	92.8	2863.9	263.5	358.3
1467.316	2.621	93.5	4731.5	264.1	206.3
1501.755	38.984	125313.8	9958.5	3894.5	1540.6
1517.754	6.782	4039.5	10507.5	658.4	253.5
1523.743	3.004	186.8	8256.7	291.0	138.9
1529.745	9.731	5118.5	7963.5	942.4	473.4
1557.683	3.469	271.5	6242.7	330.8	219.6
1571.694	39.555	4823.7	9413.1	3737.6	1697.9
1573.684	12.843	2333.9	11984.5	1236.6	436.1
1637.781	3.690	760.2	9373.7	339.9	166.1
1707.916	2.359	568.2	10828.3	208.6	96.3
1833.893	3.102	303.6	6333.6	248.7	224.5
1951.028	4.122	1050.5	7831.4	291.5	233.5
1963.873	2.704	257.7	5004.0	187.8	235.4
2033.082	9.783	13287.5	9584.5	624.0	431.9
2043.038	2.787	399.5	5817.3	176.8	201.0
2147.199	26.635	40912.2	11048.8	1480.4	947.5
2203.117	4.801	815.3	9324.8	250.6	193.6
2211.104	42.574	39885.1	12013.0	2202.2	1355.9
2225.114	10.606	9368.6	11122.4	540.5	359.2
2233.088	10.444	9609.7	10296.7	533.4	386.9
2248.068	2.692	157.5	6941.5	133.6	143.1
2259.994	2.668	2303.8	16143.9	155.9	112.5
2267.024	5.952	1699.8	9168.2	289.5	237.9
2269.024	3.598	193.2	10629.6	176.6	123.9
2283.159	9.109	5843.0	8743.1	435.7	380.0
2299.175	4.648	1502.9	10681.4	220.3	159.3
2305.107	2.318	193.7	5006.6	108.6	165.7
2323.970	2.468	152.9	5682.6	113.3	155.0
2779.571	2.288	149.8	2672.6	59.3	230.7
2932.588	25.897	11087.5	10492.7	669.4	709.3
2948.575	3.133	153.3	7468.9	79.9	118.7
2989.509	3.265	190.4	7286.6	80.6	126.4
3323.806	2.270	108.5	5469.4	42.6	107.8
3337.800	5.219	763.9	9340.9	97.5	146.5


