m/z	SN	QualityFactor	Resolution	intensity	area
1011.611	22.284	20069.4	8482.3	1693.6	394.2
1045.538	64.495	29572.6	8659.7	4975.9	1203.9
1067.518	5.763	2913.1	9126.7	439.7	106.4
1101.473	2.089	59.1	3722.1	158.2	94.5
1296.678	54.067	21315.9	8615.3	4060.8	1415.4
1318.668	3.823	390.8	7430.1	282.8	115.0
1338.836	5.021	696.7	6391.4	370.6	183.4
1352.648	3.089	148.3	6933.8	228.3	107.0
1474.810	2.179	97.0	2474.7	156.3	235.7
1529.742	2.873	313.8	5228.4	202.1	154.3
1570.690	40.258	42357.7	9801.1	2806.1	1219.3
1592.691	2.300	180.9	4407.7	157.7	154.4
1666.013	4.986	413.3	7543.8	337.4	210.3
2112.003	3.325	567.7	5883.7	172.5	201.1
2132.910	6.396	1159.6	4416.9	324.1	516.4
2147.188	71.106	70470.2	11909.6	3581.5	2144.6
2163.155	2.965	257.0	5251.8	146.8	195.8
2169.159	4.917	688.9	9434.0	241.6	181.6
2185.133	3.128	185.5	10793.0	153.1	101.2
2204.112	12.025	4060.2	11171.3	575.0	376.0
2211.101	62.475	36665.5	11894.9	2987.3	1857.5
2225.114	17.737	33276.1	12501.6	835.5	499.7
2233.078	25.629	19583.9	12110.8	1197.2	738.3
2245.704	3.149	200.1	3969.7	131.0	282.7
2248.077	5.013	437.1	8628.0	230.9	199.2
2250.064	4.250	148.6	21440.1	194.8	67.8
2255.079	3.193	287.6	14047.2	145.8	77.3
2259.074	2.892	286.1	9341.4	132.4	106.1
2267.028	8.022	768.4	8033.4	366.3	344.5
2270.038	5.375	487.8	17306.6	244.4	105.4
2283.181	28.390	37105.6	11181.0	1284.4	877.9
2299.176	10.976	4536.6	10902.7	487.0	344.7
2305.118	6.568	510.3	6157.5	289.7	359.3
2321.118	3.187	281.6	6791.4	138.4	157.7
2323.937	2.175	60.5	9571.1	95.3	77.3
2707.395	2.193	81.7	7907.8	70.0	86.0
2779.453	6.016	435.7	8208.6	181.0	221.1
2779.955	5.580	1021.3	18958.5	169.4	95.6
2807.310	2.072	81.6	6412.8	60.8	96.9
2896.057	5.195	515.4	3503.5	135.7	419.0
2898.269	4.466	293.7	15142.9	122.5	87.2
2918.246	8.672	991.7	5452.6	227.8	474.0
2932.593	81.444	50538.8	12289.9	2149.3	1975.9
2948.599	16.895	7954.8	11617.6	442.7	430.6
2954.566	6.989	816.9	9736.0	180.6	208.1
2970.579	2.860	127.5	6819.7	73.0	121.3
2988.539	5.068	593.8	8944.3	127.2	164.2
2991.539	3.418	289.8	21925.9	89.1	48.1
3077.641	2.381	115.8	10997.3	55.5	60.7
3309.779	3.421	249.4	7647.5	65.7	124.9
3323.799	11.497	2310.8	9929.9	220.2	307.0
3337.831	21.201	19858.1	13360.8	402.1	427.4


