m/z	SN	QualityFactor	Resolution	intensity	area
1011.591	13.866	15911.5	7766.4	1285.1	329.0
1045.517	17.374	10538.3	7169.8	1591.5	461.4
1067.520	3.886	407.7	6297.2	356.5	120.5
1084.005	2.598	181.8	4949.2	235.6	103.6
1101.470	2.359	83.2	4144.1	212.6	117.3
1103.005	2.402	91.9	4324.7	216.0	111.8
1117.958	2.222	63.1	3534.8	199.1	128.4
1274.729	7.080	4611.7	9963.6	619.5	187.2
1296.684	118.453	132819.0	10449.5	10465.0	3054.2
1306.706	2.465	139.9	5651.1	214.6	113.3
1314.674	5.629	1715.0	9347.9	490.6	161.2
1318.660	11.259	7260.1	10199.0	991.9	314.9
1334.644	2.722	221.8	9055.1	238.2	83.2
1338.815	12.243	5547.4	9246.5	1057.5	355.8
1352.612	9.537	4503.3	8369.3	822.7	316.2
1354.613	5.716	1193.3	9669.0	494.3	165.2
1356.625	2.507	125.4	5395.1	215.2	128.3
1374.584	3.524	216.0	7977.8	301.9	124.5
1390.556	2.687	152.1	6751.7	229.2	114.2
1408.548	2.178	129.7	5452.1	184.1	115.3
1466.799	8.664	3328.3	9660.9	727.5	279.2
1467.305	7.508	959.0	6745.5	621.9	340.4
1501.743	7.094	4732.4	13690.4	580.1	173.8
1520.716	2.050	85.3	11132.3	165.9	58.1
1529.741	7.669	6948.1	9522.2	620.1	264.6
1570.679	36.236	31255.1	10814.1	2874.5	1134.8
1572.698	9.837	2384.6	9361.7	778.4	352.5
1592.670	3.365	279.3	7864.1	266.3	147.0
1637.777	6.548	5481.6	11693.8	515.2	204.0
1666.008	4.305	418.5	6423.6	327.5	240.8
1886.890	2.079	159.3	7805.3	142.6	110.2
1951.030	2.110	215.6	7336.5	136.6	116.4
1963.890	2.988	334.4	5139.1	190.8	234.4
2112.025	4.790	802.5	4755.1	262.1	378.1
2132.911	12.507	7044.4	5031.1	671.2	943.7
2147.197	110.729	35732.8	12060.8	5883.6	3413.2
2162.173	3.889	332.3	12661.3	203.9	117.0
2169.172	12.806	19818.4	13835.3	671.4	352.3
2185.147	7.072	4588.5	12392.8	364.1	213.1
2203.110	15.507	7250.7	12774.3	781.1	445.8
2206.126	7.482	2287.4	17708.2	383.6	159.1
2211.104	20.296	22314.3	13232.6	1010.6	559.1
2225.108	8.936	4164.5	12496.7	446.5	264.7
2233.086	18.267	24675.8	13723.2	903.9	499.5
2241.094	2.525	160.4	8422.1	123.0	108.4
2247.079	4.545	422.6	7752.9	219.1	209.9
2250.077	2.787	158.7	18744.5	135.2	53.5
2260.051	4.325	315.2	9102.5	206.4	169.9
2264.057	2.590	82.2	8478.4	123.6	109.1
2266.561	2.683	70.9	7532.4	128.2	132.3
2267.035	2.288	98.0	8035.1	108.6	100.6
2271.033	2.288	143.9	18997.6	108.5	43.9
2283.172	13.763	6624.7	10570.1	647.4	468.3
2299.164	3.914	391.9	10405.7	180.3	132.6
2305.156	10.380	12647.6	14374.0	476.9	266.2
2779.425	2.908	259.4	7425.6	86.6	117.2
2779.942	2.592	150.5	17528.0	76.9	47.3
2896.159	5.558	492.7	4691.2	144.1	342.7
2899.293	2.280	90.0	6921.2	60.2	94.3
2915.283	2.261	34.9	6343.6	56.6	111.9
2918.253	12.273	5001.6	6525.5	318.1	554.1
2932.588	108.019	36745.6	13448.7	2804.2	2336.9
2948.599	10.090	1924.1	9019.1	257.3	321.7
2954.575	14.758	9225.9	12708.2	373.4	334.2
2970.560	4.379	275.3	11847.4	110.8	105.8
2988.523	8.699	5823.7	15624.1	214.4	165.2
2991.536	3.603	282.6	10549.2	88.4	95.7
3011.519	2.741	117.3	18211.7	67.5	44.7
3044.471	2.501	76.6	8449.8	58.7	82.0
3323.769	5.602	458.0	10848.3	104.0	132.7
3337.798	8.514	1696.5	12007.7	158.5	184.2


