m/z	SN	QualityFactor	Resolution	intensity	area
1045.504	8.042	4913.0	9327.5	671.1	149.8
1095.523	2.033	204.8	10884.7	175.6	38.2
1104.532	2.145	171.4	8426.2	184.5	50.8
1198.680	9.849	16048.6	10413.8	856.8	222.5
1220.645	5.381	1310.7	11743.3	471.7	116.2
1234.631	2.549	274.0	6129.4	222.2	98.2
1269.661	2.213	122.0	6626.7	192.8	82.7
1292.650	4.092	632.8	9806.2	355.4	108.0
1296.679	18.180	11979.1	11051.6	1579.6	444.1
1313.647	2.895	144.7	6941.8	252.1	112.6
1334.662	3.954	294.7	8480.4	342.4	126.2
1341.706	4.676	1032.9	10051.7	405.1	129.4
1364.678	2.452	131.2	9280.9	213.5	74.4
1377.643	2.637	223.8	6871.9	229.5	109.9
1384.688	2.007	98.8	4666.4	173.9	122.0
1390.762	5.412	1918.4	10025.3	471.6	162.0
1395.722	2.066	132.4	10579.0	183.1	58.1
1399.669	2.768	244.8	5575.8	242.1	145.6
1406.712	10.663	5948.4	12482.9	954.7	274.8
1410.720	3.587	891.7	10783.2	316.5	103.6
1414.731	2.951	212.0	8980.2	257.7	98.3
1428.710	18.902	41092.6	11670.8	1666.6	521.6
1442.701	2.299	192.1	9104.5	200.7	78.3
1459.705	3.085	183.1	9981.8	272.6	100.8
1472.757	2.177	124.8	10337.9	190.6	70.3
1487.735	2.257	122.1	9307.9	195.9	80.2
1494.739	8.804	2265.6	10494.0	767.1	293.6
1497.788	2.461	139.4	6981.8	214.4	116.7
1501.739	4.325	523.9	10207.4	373.6	142.0
1510.726	4.631	1721.6	10820.7	400.0	150.0
1517.746	3.183	297.1	11125.3	275.0	99.9
1523.776	2.964	233.2	13645.1	264.9	80.0
1529.742	15.082	15704.0	12608.2	1302.2	424.7
1554.754	13.656	14723.0	12672.7	1195.4	404.1
1566.791	2.817	95.3	7450.8	241.1	134.8
1570.689	18.056	14545.0	9759.0	1559.2	681.3
1580.771	5.853	7585.8	14284.2	514.2	159.6
1608.792	2.285	68.2	11715.1	193.7	72.8
1612.955	2.852	340.6	13306.4	243.4	81.3
1628.808	6.790	2083.3	9478.1	573.7	280.5
1646.826	3.269	546.6	13977.7	281.9	98.2
1694.729	2.829	406.7	7793.7	231.0	145.4
1714.934	2.338	160.0	9973.7	190.2	95.1
1739.914	2.104	220.5	5360.2	166.9	159.4
1752.906	2.142	218.7	14342.6	170.9	64.5
1762.849	3.095	356.6	13815.7	245.6	97.7
1776.883	2.275	141.9	11735.8	179.2	82.7
1826.938	2.352	296.5	12375.4	178.3	83.1
1905.986	3.011	347.2	9206.0	209.6	138.6
1936.058	4.628	3199.3	15085.0	310.3	131.9
2132.934	3.794	1134.9	4427.2	191.4	308.6
2147.193	40.983	80702.5	14314.5	2048.0	1023.5
2169.171	3.639	703.6	16477.9	177.9	76.0
2203.111	3.697	805.5	12320.7	173.3	101.0
2211.100	11.127	19822.5	14147.0	509.5	266.1
2225.113	4.910	1399.5	12811.6	221.5	127.1
2233.074	12.003	41942.6	15052.6	532.7	269.6
2247.123	3.018	267.6	6564.6	131.7	149.4
2283.160	4.031	970.4	10542.0	166.8	120.3
2305.151	2.594	355.2	6906.7	104.2	116.0
2354.105	3.598	486.4	11321.4	134.2	94.3
2423.107	2.437	215.4	9055.1	83.6	76.0
2854.386	2.218	104.6	11738.3	45.4	40.9
2918.235	2.063	143.4	3022.0	37.9	136.0
2932.591	27.354	19161.0	13901.9	523.1	422.3
2948.572	3.025	221.4	6307.8	56.3	99.2
2954.542	3.326	285.7	8996.7	61.5	76.2
3337.786	2.392	70.8	8297.2	30.2	50.6


