m/z	SN	QualityFactor	Resolution	intensity	area
1011.591	23.563	22387.0	6681.6	3225.0	952.5
1032.518	2.125	66.0	4638.1	286.1	124.7
1045.522	56.901	26586.5	6735.6	7654.5	2371.8
1067.518	6.540	2794.4	6098.7	873.5	309.8
1095.505	2.079	82.2	3265.4	275.0	185.0
1101.535	2.367	92.2	1348.7	310.5	516.3
1135.439	3.010	117.1	1668.4	392.1	559.9
1154.238	2.689	132.4	532.8	273.0	1294.1
1235.612	2.497	238.2	4456.1	315.7	192.1
1267.654	2.366	149.3	2930.1	296.3	285.9
1274.675	2.125	278.6	5376.5	266.4	144.4
1296.685	35.200	31714.9	8357.7	4416.3	1595.5
1303.607	2.508	102.5	5151.0	312.9	180.3
1314.660	2.595	373.4	5689.1	321.1	170.3
1318.665	3.530	342.9	9635.1	443.7	146.1
1338.831	7.342	1790.5	6711.4	907.2	426.5
1352.621	3.997	541.0	7760.5	489.7	202.0
1459.675	2.814	239.7	4572.0	329.0	261.6
1465.709	3.559	159.1	6465.8	414.3	235.8
1467.303	2.719	394.1	6163.7	315.8	188.7
1510.739	3.406	310.3	7188.6	388.5	212.0
1529.736	4.806	693.5	6788.2	536.1	316.1
1562.799	2.320	219.9	6664.4	253.0	157.6
1571.690	28.196	5946.8	9245.8	3068.0	1414.8
1573.690	8.132	447.4	15419.6	883.1	239.1
1637.773	2.749	803.4	13938.6	296.7	100.6
1655.806	2.718	434.3	9866.0	282.3	132.8
1666.005	4.806	640.5	6482.2	494.2	358.3
2112.013	2.430	439.6	4262.6	174.5	279.5
2132.915	7.745	5580.3	4774.5	541.5	812.9
2147.198	70.395	53113.6	10680.8	4909.8	3283.1
2163.172	2.724	259.6	6050.0	185.2	215.0
2169.168	4.972	1209.9	8275.2	336.2	287.8
2185.136	3.971	614.8	10665.7	268.5	181.0
2203.117	10.254	4308.0	10707.6	671.5	457.8
2206.114	4.761	118.8	11534.2	313.6	198.2
2211.106	58.838	35458.6	10558.0	3875.6	2723.9
2225.111	19.370	31518.9	11558.3	1247.0	804.5
2233.073	34.490	32457.5	10850.0	2233.2	1537.4
2241.079	2.202	38.0	13652.2	141.0	79.0
2248.061	9.231	2378.5	9408.3	584.2	464.1
2255.070	2.959	364.6	11438.4	187.4	123.3
2259.054	2.721	264.1	9145.6	171.5	140.3
2263.045	2.688	36.9	14408.9	169.3	88.1
2267.028	8.294	1516.9	7172.7	516.5	542.1
2268.574	3.096	87.0	6795.9	191.9	212.9
2270.020	5.209	820.6	11367.8	327.3	216.5
2283.161	31.231	20464.0	10075.1	1928.0	1460.8
2289.000	3.854	261.0	9180.5	235.6	195.5
2299.164	7.192	1337.8	8627.8	435.6	385.6
2305.122	10.188	2588.4	6710.8	613.7	701.0
2321.098	3.504	236.6	5297.3	208.0	303.7
2322.942	2.599	81.7	37244.2	156.5	33.7
2720.279	2.935	234.1	9714.6	121.3	123.5
2779.422	5.015	366.0	5725.6	194.7	343.0
2779.940	5.989	1449.2	22174.9	235.6	116.4
2807.292	3.079	115.3	6228.7	116.7	192.2
2893.991	2.929	138.7	3959.7	98.8	273.0
2897.188	4.000	574.6	6434.8	135.7	250.3
2918.214	5.687	420.2	4511.6	191.7	462.8
2932.588	54.387	37352.8	11002.4	1828.0	1869.0
2948.582	10.220	4809.9	10019.4	339.9	381.8
2954.577	6.012	1596.5	8987.4	198.2	248.6
2970.545	2.430	137.8	7560.1	79.3	119.2
2988.547	4.198	227.3	7893.8	134.7	196.8
2991.538	2.363	53.1	23394.1	76.8	37.2
3309.727	2.906	193.5	5968.5	71.0	162.5
3323.763	13.458	4932.6	8747.0	326.2	517.5
3337.792	21.586	21332.8	11334.5	520.6	654.2
3347.711	2.165	64.0	6814.4	51.6	104.7
3353.773	2.150	131.4	6450.8	50.8	111.9


