m/z	SN	QualityFactor	Resolution	intensity	area
1011.580	14.686	7943.0	6995.0	1481.6	416.1
1032.507	4.026	458.3	8015.1	410.9	105.1
1045.518	47.309	27176.6	7550.3	4781.6	1329.1
1062.474	2.174	169.7	4305.9	217.9	106.4
1067.501	4.870	791.4	6807.7	488.2	153.7
1079.479	2.406	89.8	7184.5	240.7	76.7
1094.480	2.162	58.9	8149.1	216.5	58.9
1101.460	2.476	62.3	2748.1	246.0	198.4
1106.575	2.522	150.7	2968.4	250.6	189.6
1142.578	2.566	54.9	4911.0	253.6	122.3
1144.600	6.475	1875.6	6539.9	646.6	239.0
1198.646	2.069	107.9	3501.8	202.0	147.4
1245.698	5.409	333.9	4944.6	523.3	292.6
1274.678	3.923	415.8	6057.3	375.3	181.9
1296.685	65.413	129171.1	9002.4	6264.9	2116.5
1314.670	3.479	708.3	8642.2	332.8	120.0
1318.671	4.755	2561.1	8527.4	451.5	169.4
1325.750	9.044	8937.1	8453.2	855.1	316.9
1338.820	12.185	11312.2	8898.0	1149.8	418.2
1352.627	4.130	379.9	6351.5	388.1	197.0
1354.632	2.525	101.8	5752.0	237.8	132.6
1441.728	2.582	246.1	3400.6	234.1	244.5
1458.745	2.012	127.9	5088.8	181.2	128.2
1465.706	3.151	81.9	2777.8	282.4	370.9
1481.829	2.690	128.4	5703.6	238.6	156.8
1501.742	31.086	41511.4	9295.5	2726.5	1154.2
1517.742	9.034	5279.9	8692.6	790.8	362.6
1523.722	3.216	366.2	8245.3	279.8	135.2
1529.734	4.621	599.9	7814.8	400.1	205.2
1571.686	51.469	7518.6	9184.8	4342.1	2021.0
1573.681	11.492	569.5	10255.1	983.9	401.2
1598.656	2.741	154.6	10449.8	231.2	99.4
1598.964	2.244	156.8	6162.4	187.4	131.5
1637.792	4.158	525.9	6551.7	337.7	237.7
1665.996	5.751	1058.3	8406.7	464.5	261.9
1793.946	4.747	971.3	8034.4	357.0	245.3
1886.902	2.061	221.1	7137.6	143.3	120.2
1951.008	3.391	644.9	8783.0	217.7	156.6
1963.874	3.195	373.6	6583.1	200.7	191.1
2033.079	10.715	17040.1	9828.0	618.4	422.6
2112.025	4.544	503.3	5023.7	239.2	326.0
2130.177	2.369	95.9	3788.8	121.7	222.1
2132.924	11.106	6111.9	5329.3	569.3	765.8
2147.198	106.082	69298.7	11512.3	5385.5	3337.5
2163.192	3.103	309.8	8578.6	154.2	126.1
2169.178	9.628	8583.7	11296.2	477.2	304.5
2185.138	4.713	1404.6	13916.7	228.5	121.4
2196.877	2.350	331.3	4087.6	106.8	206.8
2203.117	11.768	8427.4	10611.7	565.2	389.8
2206.125	5.862	264.1	14310.9	284.2	145.5
2211.105	48.819	33588.5	11499.1	2298.4	1478.6
2225.117	16.269	23001.4	12317.9	763.3	465.5
2233.085	24.593	26751.4	10924.1	1136.8	776.6
2248.085	6.279	560.8	7588.0	284.7	279.7
2255.072	3.532	253.5	12159.3	159.3	98.7
2267.030	5.384	413.3	6051.3	239.8	298.4
2268.618	2.029	32.6	7435.3	90.3	94.2
2270.057	4.091	397.3	12238.0	181.8	112.6
2283.179	19.397	17302.0	10779.9	861.0	608.0
2299.178	8.072	3916.8	11319.9	352.9	241.9
2305.133	6.073	649.9	6910.7	260.3	288.3
2321.108	2.325	106.9	5004.7	97.5	149.8
2778.949	4.506	478.6	20567.1	115.7	60.2
2779.435	3.437	211.2	6482.0	87.4	135.6
2897.215	2.775	267.1	5944.4	60.8	121.0
2918.244	4.055	453.7	6416.8	88.0	160.6
2932.588	45.512	28684.7	13685.3	988.8	808.8
2948.583	7.459	1025.6	10951.2	161.6	165.1
2954.574	4.112	247.0	10268.4	88.2	96.4
2989.535	2.676	132.4	8801.3	55.4	72.0
3323.788	4.574	209.2	7970.3	69.3	119.8
3337.806	8.921	1523.3	12335.0	133.7	151.7


