m/z	SN	QualityFactor	Resolution	intensity	area
1011.591	9.407	3099.7	5539.2	962.0	339.1
1045.525	58.691	36305.1	6705.5	5974.3	1872.4
1067.519	5.526	1444.3	5460.1	557.1	216.5
1084.024	2.464	107.8	5315.5	246.2	101.1
1097.990	2.659	34.6	4794.5	264.5	123.5
1101.458	5.581	570.4	3714.9	553.5	333.2
1102.996	4.160	184.2	3906.0	412.5	236.3
1103.472	3.319	180.3	5355.1	329.8	137.5
1105.982	2.002	189.7	4930.5	198.6	92.1
1118.086	2.003	95.1	1022.8	190.3	428.3
1136.344	2.024	162.2	438.4	153.6	862.3
1154.600	2.237	241.9	248.1	173.4	1766.5
1172.453	2.337	373.3	251.0	179.8	1856.8
1190.135	2.380	340.7	262.5	180.4	1826.6
1296.682	34.270	49128.2	8703.1	3201.4	1097.1
1314.670	2.114	189.3	5975.4	196.0	99.1
1318.668	2.600	513.6	9996.4	240.2	74.1
1338.821	5.386	1199.3	6865.4	493.3	224.6
1352.605	3.446	808.0	8065.4	318.1	125.9
1354.621	2.795	227.8	11659.4	255.4	71.2
1570.683	25.203	24663.4	9752.9	2052.3	897.0
2132.897	2.590	333.7	3285.7	128.3	266.8
2147.202	29.377	42830.2	10833.1	1444.3	950.0
2169.168	2.483	365.8	5084.2	119.1	165.4
2185.118	2.204	93.7	10628.5	104.9	70.7
2203.114	5.904	2075.2	11258.6	275.9	178.3
2206.124	2.267	59.5	8128.4	105.1	93.1
2211.096	27.156	21203.4	10898.6	1252.1	843.5
2225.112	6.788	1964.8	8219.8	309.1	275.8
2233.082	13.418	13388.1	10232.0	611.3	445.7
2249.061	3.633	233.4	6853.8	161.8	175.0
2267.019	4.282	391.1	5683.4	187.1	247.3
2269.020	4.911	629.9	17525.8	219.2	94.1
2283.164	10.874	5772.1	8384.0	470.2	428.1
2289.997	2.499	135.4	10134.6	108.0	81.5
2299.165	3.818	279.2	7462.2	162.9	166.9
2305.104	4.591	541.3	5056.9	193.8	292.4
2932.590	16.200	15374.7	11757.0	393.4	375.1
3323.732	2.741	134.3	7298.1	48.7	91.5
3337.796	3.896	239.0	8033.1	68.6	119.1


