m/z	SN	QualityFactor	Resolution	intensity	area
1011.592	9.875	2554.9	12750.8	298.8	47.9
1045.521	13.385	5470.5	9872.4	402.8	83.6
1067.499	2.359	177.7	5575.3	71.4	27.1
1296.682	60.220	32000.8	12843.2	1814.4	440.2
1318.668	7.911	1033.6	13890.4	231.6	54.0
1338.824	3.606	430.2	10659.4	107.7	32.7
1352.606	6.206	1256.9	10645.9	181.7	55.7
1467.301	7.024	1151.2	10853.7	200.9	68.7
1570.683	29.708	47995.8	13982.4	823.0	254.0
1592.646	3.040	306.8	11441.2	83.2	31.5
2132.939	3.121	333.2	4358.9	62.7	101.1
2147.195	35.698	53252.3	17127.4	735.0	313.6
2163.179	2.545	216.8	13489.6	50.1	26.4
2169.168	5.682	1102.5	17403.7	111.8	47.0
2185.138	2.447	78.4	11683.9	47.5	28.9
2203.113	3.728	266.1	9070.8	71.2	56.9
2206.119	2.151	90.5	9694.1	41.0	30.6
2211.104	11.950	6324.7	16021.0	229.9	106.4
2225.109	3.748	318.0	13403.5	70.4	38.9
2233.079	10.808	4600.8	19883.3	204.9	79.9
2259.038	2.236	47.8	14301.7	41.2	21.6
2893.968	2.861	86.1	4398.0	32.8	82.5
2897.177	5.123	418.1	5160.0	58.0	130.8
2918.227	7.736	724.4	4797.5	88.6	202.3
2920.229	4.965	104.5	38422.4	58.4	17.3
2932.589	104.137	63776.3	17811.2	1185.7	748.3
2948.580	11.503	845.3	12856.4	130.1	113.1
2954.573	12.548	3317.8	16928.3	144.3	95.8
2970.554	4.098	184.5	13832.5	45.7	37.5
2988.511	3.558	135.0	17316.2	39.7	26.5


