m/z	SN	QualityFactor	Resolution	intensity	area
1011.591	46.287	26773.3	7500.9	3749.6	989.3
1033.569	3.416	550.9	5982.1	273.9	93.0
1045.520	141.754	22643.6	7116.7	11212.8	3269.1
1067.516	14.074	14176.9	7283.1	1105.4	327.7
1084.022	2.471	163.1	5207.6	192.7	81.3
1097.981	2.055	49.8	5693.9	159.6	62.1
1101.456	8.794	1468.4	5423.5	683.3	283.0
1101.993	2.933	125.2	3623.0	227.0	140.3
1103.470	4.665	135.4	5991.6	363.7	136.5
1103.981	2.415	58.6	5438.2	187.9	77.1
1118.134	2.141	97.6	1474.8	165.1	258.2
1123.460	2.444	143.6	2978.6	188.5	146.0
1153.174	2.058	132.7	702.6	132.3	464.9
1156.301	2.051	60.1	1641.4	156.3	227.6
1296.681	37.295	31077.2	9382.9	2766.3	880.4
1314.675	3.110	660.6	6298.7	227.4	109.5
1318.671	2.726	236.8	12350.0	198.9	50.1
1338.818	12.884	11506.3	9085.0	936.5	326.6
1352.609	3.347	174.2	7782.0	244.2	100.3
1570.685	15.911	8292.2	9885.4	1027.7	440.1
1666.020	4.733	466.7	6561.1	287.9	207.4
2132.950	2.377	294.1	4333.2	103.5	165.5
2147.197	19.611	23357.6	11857.5	849.0	507.1
2195.920	2.516	204.0	3063.5	100.7	238.5
2203.111	2.844	132.5	8801.4	116.7	95.7
2211.099	97.409	32721.0	11857.7	3988.1	2473.7
2225.114	20.765	25566.5	12607.9	834.1	493.2
2233.081	52.459	47389.3	13023.5	2122.4	1225.4
2245.761	2.732	110.3	3402.2	104.6	233.7
2248.074	13.342	6085.3	13386.2	528.5	303.6
2255.064	5.361	1841.0	11550.6	211.5	137.5
2267.025	15.020	4774.6	9892.6	581.4	445.9
2270.026	8.446	4553.9	13769.9	331.4	184.0
2283.171	26.161	34516.5	12744.4	1002.6	613.7
2289.007	6.485	3693.1	11167.9	249.9	172.8
2292.014	2.934	330.9	12138.8	112.9	70.8
2299.173	16.719	18616.6	14529.3	632.3	344.0
2305.120	9.927	3595.6	8676.2	376.2	340.8
2307.950	2.593	81.8	18323.9	101.1	42.6
2321.137	4.260	192.6	9383.0	159.4	131.5
2323.029	2.905	173.0	4817.2	107.5	173.3
2326.489	2.264	75.9	8065.4	83.7	82.9
2326.944	3.009	161.9	12999.4	112.2	67.2
2344.919	2.047	47.5	9758.3	75.3	60.5
2779.442	5.134	312.4	7640.5	126.4	166.0
2779.964	5.044	984.5	15808.9	124.2	83.1
2807.303	2.627	131.4	7065.1	63.2	91.5
2932.590	8.960	2890.6	11031.3	189.9	191.5
3323.777	7.392	821.8	9308.3	113.8	169.8
3337.802	11.581	3418.9	11479.9	177.7	216.4


