m/z	SN	QualityFactor	Resolution	intensity	area
1011.595	8.978	2039.7	6671.3	589.5	174.1
1045.517	57.578	29886.6	8107.4	3753.8	964.3
1067.512	4.294	522.6	5990.9	279.1	99.5
1095.990	2.269	48.7	9637.3	146.1	35.3
1101.455	2.470	188.0	3538.5	158.8	100.1
1102.003	2.526	159.7	3974.6	162.6	91.3
1103.443	2.273	142.3	5670.2	147.3	57.6
1296.682	38.161	21779.5	8826.2	2423.4	822.2
1318.662	2.694	172.6	6433.3	168.7	79.9
1338.823	6.803	605.0	7228.5	426.3	185.9
1352.606	2.220	127.4	4508.4	138.3	97.6
1467.303	2.786	231.2	5761.8	168.1	107.3
1529.732	3.313	338.5	10875.2	194.7	71.6
1570.687	80.170	107237.2	11893.5	4620.5	1661.4
1592.673	3.333	193.4	6894.0	190.3	119.1
1598.694	3.412	841.5	10337.7	197.0	85.1
1625.931	2.989	296.3	7061.1	170.0	107.7
1626.580	2.121	69.2	6972.7	120.2	79.9
1666.013	4.760	466.7	7255.9	267.5	174.6
2112.012	4.646	668.4	6062.9	195.1	222.4
2132.912	8.400	1525.5	4807.1	343.3	508.0
2147.193	91.199	64628.0	12698.4	3702.4	2074.9
2163.191	3.465	296.7	6715.6	139.1	146.6
2169.172	6.191	3636.0	13639.6	246.6	132.3
2185.140	3.887	913.5	13580.1	155.0	82.8
2195.916	3.033	381.2	4278.8	116.3	201.0
2197.751	2.333	74.5	16753.1	91.8	40.4
2204.112	8.332	2081.6	11044.2	320.8	211.3
2211.101	105.690	58691.2	13084.0	4103.4	2327.0
2225.116	30.424	52428.1	15014.0	1153.8	581.6
2233.080	41.343	33292.3	12903.9	1580.4	907.5
2245.723	3.290	183.9	3062.7	99.4	294.1
2248.070	7.630	1053.5	9659.7	283.8	220.6
2250.051	5.568	277.0	23796.5	216.6	69.0
2255.060	3.834	416.5	10287.9	142.2	104.1
2260.070	2.112	62.3	8496.7	77.7	68.8
2268.029	13.645	5347.1	9788.4	498.6	385.5
2271.022	5.629	1328.1	17338.3	206.7	94.0
2283.172	41.864	39531.5	12836.5	1511.5	919.1
2299.175	19.437	15196.1	16375.0	693.0	343.5
2305.133	10.153	1914.5	8916.0	359.5	317.5
2321.093	3.495	210.7	6075.4	122.1	154.5
2323.964	3.518	298.8	9369.9	122.7	102.2
2707.407	2.163	70.2	14338.2	53.8	36.4
2779.436	5.659	406.1	7906.4	131.5	167.0
2779.940	5.569	1114.5	20224.8	132.0	70.5
2894.832	3.615	154.2	7119.0	71.0	129.6
2897.151	2.077	133.1	4313.0	40.1	110.0
2918.243	4.881	632.9	6620.3	97.5	175.2
2932.592	39.835	29937.3	13905.8	797.8	646.8
2948.588	7.983	1606.1	12335.2	160.2	146.2
2954.559	2.941	193.9	13514.2	57.9	48.1
2989.513	2.882	172.6	11935.1	55.0	52.8
3323.782	7.210	495.3	9270.4	104.2	155.3
3337.792	13.362	6193.4	14512.5	190.9	184.4


