m/z	SN	QualityFactor	Resolution	intensity	area
1011.593	17.619	23586.8	8217.9	1554.7	377.3
1045.526	38.551	32451.0	7693.0	3375.2	918.2
1067.523	5.689	1331.9	6228.2	499.3	171.5
1101.454	3.931	140.0	3524.9	338.3	213.2
1103.001	2.801	113.9	4470.0	241.5	120.3
1115.974	2.025	52.3	3025.2	173.2	130.3
1118.013	2.201	148.2	1778.4	187.7	242.1
1153.499	2.852	129.8	819.2	213.5	638.1
1172.262	2.179	361.2	252.2	145.1	1491.8
1190.069	2.039	289.0	255.6	135.2	1404.9
1296.678	25.764	18524.7	9161.4	2094.3	683.7
1338.824	7.951	5072.9	8458.6	639.7	239.9
1352.607	3.558	1443.8	7168.3	284.4	128.9
1354.600	2.053	57.3	11643.9	165.7	45.8
1570.689	23.899	34876.4	10623.7	1680.9	676.2
1665.999	3.280	256.2	5192.1	218.6	197.3
2132.020	2.493	157.0	3422.9	111.6	230.3
2147.191	33.731	29842.3	12406.8	1524.4	868.3
2169.165	3.010	253.7	12236.6	133.5	78.1
2196.837	2.117	167.0	3658.4	88.7	181.6
2203.118	7.041	3612.1	11088.1	301.6	199.5
2206.103	3.410	116.9	10126.0	146.4	104.5
2211.099	48.819	53847.6	12710.0	2100.7	1225.4
2225.113	12.326	23834.4	13605.8	517.8	286.9
2233.077	16.865	14562.1	12521.9	716.7	425.4
2245.704	2.291	68.9	5149.6	88.7	150.3
2248.054	3.178	206.5	5558.6	131.2	174.7
2259.062	3.367	144.8	8448.5	138.1	122.9
2267.017	10.469	3266.9	10859.0	424.2	294.5
2270.018	4.674	633.0	16516.6	191.9	87.2
2283.166	11.669	6121.7	9021.3	468.3	395.5
2289.000	2.305	83.6	7722.5	91.8	90.4
2299.167	7.702	2363.8	10805.0	305.6	216.3
2305.131	2.356	106.9	3665.7	90.4	194.1
2323.004	2.196	191.1	3793.8	84.0	171.8
2324.947	3.919	159.9	23184.2	150.5	51.8
2932.593	10.149	4728.3	14294.9	232.8	181.4
2948.570	2.056	86.9	7451.6	46.5	69.6
3323.792	3.049	167.3	6598.6	52.8	110.1
3337.794	4.708	230.8	10199.2	81.3	110.9


