m/z	SN	QualityFactor	Resolution	intensity	area
1011.589	2.378	111.5	6546.2	73.7	22.0
1030.064	2.256	126.6	5167.3	70.0	27.1
1045.516	7.738	2686.7	8444.8	242.0	59.2
1068.034	2.794	195.3	7905.2	87.2	23.6
1071.656	10.478	2132.3	2278.0	322.4	312.7
1282.172	3.172	336.9	2442.0	94.3	111.3
1296.682	3.464	177.1	6260.0	102.6	48.6
1529.727	2.426	106.6	9126.3	68.6	30.0
1570.683	10.846	9619.7	10178.0	299.9	123.8
2147.204	3.540	359.1	9534.9	65.3	47.9
2211.094	7.697	3795.6	10242.1	134.2	95.6
2233.088	7.441	5657.2	14878.4	130.6	65.9
2932.590	3.843	133.7	10961.9	37.4	37.7


