m/z	SN	QualityFactor	Resolution	intensity	area
1011.589	32.386	19903.6	5609.2	5361.4	1896.7
1022.515	2.098	200.4	1663.9	344.3	409.2
1030.477	2.106	171.3	4099.9	344.8	166.0
1045.525	112.239	31313.7	5332.2	18440.7	7237.3
1067.529	7.321	1483.2	4336.6	1186.5	584.8
1078.478	2.034	75.0	1700.7	328.7	418.4
1101.463	7.435	349.3	3356.6	1183.7	788.2
1105.469	2.374	126.6	3530.8	378.3	278.5
1117.971	2.160	68.7	2119.1	342.3	373.5
1153.973	2.019	340.8	257.8	254.6	2465.1
1172.315	2.129	482.7	251.3	263.7	2721.2
1189.597	2.230	371.1	265.6	272.9	2727.3
1296.683	62.779	37160.5	6946.8	9485.0	4126.0
1314.674	4.959	1163.9	5312.5	739.3	422.1
1318.667	3.178	458.7	5706.6	473.2	257.4
1338.825	17.192	12425.6	6387.1	2563.6	1274.4
1352.616	6.833	2278.9	5392.7	1011.1	601.5
1354.621	3.930	233.0	5711.9	581.9	326.5
1408.565	3.380	330.1	5617.2	485.3	297.7
1467.308	2.154	86.0	3918.0	301.1	281.2
1570.680	23.099	26497.0	7591.0	3011.8	1689.1
1625.905	2.405	132.9	3296.6	299.9	410.2
1666.004	11.588	5757.6	7369.4	1398.0	898.1
1940.938	2.477	439.0	9043.8	253.5	176.2
2132.947	5.067	2391.1	4220.5	405.7	700.1
2147.196	53.302	42117.4	9540.1	4307.4	3219.7
2163.165	2.614	235.6	5259.8	206.2	276.0
2169.155	4.014	1121.3	8679.1	316.5	258.9
2185.133	2.992	511.8	9905.1	232.1	170.7
2195.933	4.263	476.0	3844.1	319.6	610.0
2197.749	2.846	137.2	14775.5	218.7	106.7
2203.120	10.830	4990.7	8383.1	815.6	712.9
2211.104	133.277	42328.1	9055.9	10060.2	8227.7
2225.107	34.437	29268.0	9801.6	2549.1	1935.6
2233.070	36.596	33819.9	9656.7	2707.9	2098.0
2245.634	4.025	146.2	3053.5	252.7	698.4
2248.056	10.091	3085.4	7272.8	732.5	747.8
2250.044	6.400	694.7	18220.9	469.7	193.3
2255.053	2.981	442.0	9113.6	215.1	180.9
2259.065	5.417	2194.8	8713.2	388.6	339.2
2267.019	21.568	7410.7	7266.2	1537.2	1593.9
2269.020	14.273	6419.1	12707.7	1022.5	605.9
2283.166	37.031	16250.3	7889.4	2604.7	2520.3
2288.999	4.011	316.5	6200.8	280.8	342.9
2290.996	3.304	176.8	29168.4	255.8	68.5
2299.174	21.292	9996.4	8937.9	1480.0	1274.0
2305.077	6.438	531.6	3693.3	443.4	917.6
2320.125	2.539	51.4	5582.2	173.5	238.7
2322.996	9.366	3187.3	5810.4	638.0	860.9
2325.941	4.725	760.0	10600.1	323.3	239.4
2339.074	2.757	168.4	4500.1	185.1	323.2
2344.996	2.181	151.0	4344.7	145.5	264.5
2355.100	3.623	220.1	9909.7	243.0	193.6
2378.971	2.282	130.4	3516.7	148.7	336.7
2707.420	2.778	297.4	6025.0	132.5	215.8
2779.463	4.562	245.5	4523.6	201.5	450.6
2896.065	2.991	228.0	3681.9	113.5	336.0
2918.269	3.960	490.7	5383.9	150.0	315.4
2932.589	37.185	29370.5	9736.3	1413.7	1637.0
2948.585	5.607	524.0	7126.4	209.8	328.7
2954.550	2.970	303.1	7350.3	110.1	176.0
2988.514	4.390	461.0	8781.8	158.9	208.6
3044.467	2.115	73.2	6757.2	72.5	125.8
3309.717	2.752	217.0	5968.1	74.2	181.7
3323.763	10.710	4291.5	7646.4	291.5	531.5
3337.784	16.528	9875.9	9227.0	446.1	683.5


