m/z	SN	QualityFactor	Resolution	intensity	area
1045.527	8.807	2897.2	9198.3	212.9	48.0
1198.700	3.239	192.4	11392.1	81.1	18.6
1267.661	2.005	76.9	3621.8	50.3	39.1
1296.682	10.909	3683.7	12917.6	280.8	67.8
1303.607	2.878	271.4	8906.8	72.9	24.4
1325.731	2.556	117.2	9630.6	65.6	21.2
1428.723	6.593	2421.7	13170.2	172.0	48.0
1459.715	5.110	637.0	11433.4	129.6	42.0
1465.714	2.148	97.5	5664.8	54.4	36.7
1467.773	2.553	225.3	9896.7	65.3	25.2
1494.767	3.065	196.3	8460.5	77.5	35.2
1501.757	12.239	8916.1	12704.8	307.7	95.1
1510.736	2.418	91.9	8936.1	61.4	26.9
1517.751	3.284	251.8	14219.1	83.7	23.5
1529.741	9.168	5182.6	15108.0	238.5	66.4
1561.784	2.497	52.7	12390.2	62.9	20.7
1570.683	14.014	5817.2	11909.4	354.6	126.7
1572.689	7.990	1695.9	10478.7	200.8	81.0
1580.770	2.120	61.9	11717.4	53.1	19.2
1619.780	2.973	236.7	11689.8	74.0	29.0
1628.785	4.231	507.8	9857.5	105.2	48.4
1637.792	3.305	201.6	9846.8	83.1	38.7
1655.824	2.906	299.2	10507.8	72.2	32.6
1714.891	2.015	139.5	11036.1	50.3	23.0
1951.003	5.065	2367.0	14778.1	111.8	48.8
1963.863	2.350	139.2	5950.3	51.0	53.8
2033.055	2.430	136.5	9771.9	49.8	32.9
2147.195	33.145	30486.1	16437.7	612.1	272.7
2169.165	2.066	89.7	11554.8	36.8	22.6
2204.104	2.132	79.1	10349.9	36.7	25.6
2211.103	12.336	10874.3	17437.8	218.5	95.4
2225.107	2.439	106.4	11954.5	41.2	25.4
2233.082	5.122	1531.2	15439.3	87.3	42.8
2283.169	9.161	10707.9	16237.7	147.3	70.7
2778.927	2.644	108.8	7863.0	27.0	34.5
2779.444	4.071	264.5	16821.0	42.5	26.8
2932.589	10.049	4283.8	15435.0	92.5	67.3


