m/z	SN	QualityFactor	Resolution	intensity	area
1011.587	4.532	1094.5	7247.8	248.9	68.2
1045.496	26.545	21666.4	8849.3	1440.3	334.8
1067.500	4.220	2913.2	9618.8	227.5	52.8
1101.468	2.152	43.4	2861.8	114.7	89.9
1102.971	2.147	51.7	8101.1	114.6	31.6
1296.681	8.455	4812.9	8245.9	431.7	157.4
1338.804	2.806	190.9	8164.9	142.0	55.7
1467.304	2.682	603.3	13248.0	130.2	37.5
1570.685	13.139	15589.3	10062.3	605.6	255.7
2147.196	14.633	7442.2	12651.9	464.5	257.0
2204.097	2.305	60.7	8961.1	68.4	55.1
2211.101	37.901	33191.6	13213.1	1137.5	629.6
2225.118	9.737	11265.9	13496.7	286.8	158.5
2233.080	25.854	36220.5	13405.9	753.1	421.0
2246.082	2.272	66.3	8942.1	65.1	53.3
2249.066	5.948	3863.6	15757.9	170.0	83.4
2255.055	3.471	304.3	14765.9	99.0	49.9
2268.022	9.761	3942.1	14943.8	273.7	140.2
2283.166	12.508	10990.1	13248.3	347.3	203.7
2289.013	3.620	232.2	9522.7	99.9	80.2
2299.145	2.505	119.2	6508.7	68.4	80.3
2305.104	4.539	442.6	5806.4	123.1	163.6
2778.924	2.011	88.8	7841.0	37.4	48.0
2779.443	2.549	99.6	15763.2	48.2	32.4
2932.590	22.051	10154.8	13991.0	362.0	287.9
2948.587	3.286	151.6	8111.5	53.4	73.4
2954.580	2.097	65.2	10575.2	34.1	36.1
2988.535	3.064	88.8	23511.1	48.2	23.5
3323.792	2.648	95.0	9894.9	32.8	46.0
3337.817	4.316	338.2	12450.9	53.2	60.1


