m/z	SN	QualityFactor	Resolution	intensity	area
1001.515	3.042	88.1	7442.5	380.8	98.3
1011.602	54.891	30687.0	6157.2	6859.9	2215.2
1022.543	3.105	315.3	2658.7	381.7	285.9
1030.493	2.416	267.5	3461.7	297.8	172.4
1031.508	2.114	68.4	14430.8	270.7	38.3
1033.562	3.147	775.9	6769.3	390.2	120.2
1045.534	209.850	40877.8	5962.8	25730.9	9044.3
1065.987	2.539	121.1	4961.1	308.7	135.1
1067.527	15.167	7411.9	5672.3	1839.7	692.5
1069.551	2.270	81.4	6827.0	275.4	85.9
1076.469	2.566	65.2	4155.7	310.8	162.0
1101.470	17.424	1948.3	5953.9	2088.9	795.8
1106.497	2.209	99.1	3074.4	263.7	191.5
1123.487	2.714	107.8	3095.4	322.7	239.4
1296.682	122.048	36396.9	7776.1	13760.7	5309.7
1314.670	6.958	7238.1	7151.9	778.5	333.3
1318.661	6.017	2246.1	8459.5	672.6	247.5
1338.819	27.646	24445.9	7607.5	3104.5	1294.9
1352.618	11.193	3374.5	6111.5	1250.7	658.6
1354.608	8.194	1494.6	9831.3	909.5	298.0
1408.566	5.031	651.3	6344.4	538.8	293.0
1465.766	2.344	63.3	5137.2	244.5	172.9
1467.321	2.972	180.0	5173.5	310.1	222.3
1529.737	2.145	215.8	4092.2	214.7	209.2
1541.875	4.440	3853.7	10592.5	444.2	176.7
1562.814	2.306	200.4	9355.0	226.6	103.5
1570.683	45.996	39163.8	9352.3	4482.6	2055.1
1592.653	2.463	267.2	5230.3	238.1	196.1
1666.002	11.375	5691.7	8377.5	1070.3	605.6
2111.995	4.034	458.5	5261.0	264.2	345.8
2130.148	2.288	84.9	3790.0	146.1	269.4
2132.913	9.018	4228.9	4570.7	578.4	894.0
2147.195	93.865	46438.6	10323.1	5991.0	4138.1
2163.179	4.599	671.3	7028.8	288.7	291.5
2169.156	6.195	1836.5	8654.3	385.2	316.5
2185.134	5.048	1547.1	11861.3	310.5	190.3
2195.933	4.058	547.4	3381.6	240.6	518.6
2197.748	2.997	135.2	14275.6	183.8	92.9
2203.115	15.685	6554.5	9663.1	949.7	717.4
2206.109	6.452	100.2	8452.6	387.9	334.0
2211.103	147.790	45086.4	10744.5	8863.4	6136.3
2225.108	37.825	36090.3	10740.6	2249.5	1559.0
2233.071	44.655	29054.8	11017.9	2639.0	1785.5
2245.443	3.149	65.9	1661.2	143.3	651.8
2248.062	14.197	2481.4	8368.0	828.8	741.6
2255.052	2.847	172.9	9127.8	166.0	138.8
2259.062	8.081	1991.3	8960.9	467.9	392.7
2263.060	3.575	44.6	6625.3	207.2	234.2
2267.019	27.441	11041.3	9693.7	1589.7	1251.4
2270.023	12.490	10684.0	13615.4	716.4	401.3
2280.062	3.814	45.8	8051.3	217.8	204.2
2283.162	35.878	18419.3	9677.9	2037.1	1597.3
2289.011	6.625	1468.8	7430.4	373.8	386.6
2292.005	3.129	392.5	14243.4	177.6	95.6
2299.164	21.995	19059.3	10759.7	1229.2	886.9
2305.092	10.760	5786.0	6852.1	598.0	679.7
2320.120	3.188	90.3	5189.8	174.6	259.6
2322.996	6.846	941.1	5493.4	374.5	532.4
2325.943	5.235	648.9	11373.5	287.3	198.0
2339.032	2.651	148.2	5116.8	143.0	217.4
2344.953	2.362	112.4	6270.6	126.9	159.0
2355.112	3.422	218.6	16008.4	183.7	90.9
2707.383	2.689	167.1	7214.5	101.8	136.2
2779.907	4.026	126.4	5309.2	143.6	273.4
2895.339	2.104	147.4	1436.0	45.7	360.4
2918.263	4.118	603.6	5904.8	126.1	254.0
2932.589	44.027	21658.2	11402.5	1373.8	1350.6
2948.590	8.146	1473.8	8346.6	249.5	334.3
2954.547	2.467	130.8	7200.2	75.1	116.4
2989.021	2.007	34.1	12305.1	59.7	58.0
2989.508	3.230	220.2	8393.4	95.5	129.5
3309.738	2.112	181.6	5190.8	45.2	125.7
3323.771	9.099	1695.2	8499.2	198.6	323.4
3337.791	13.472	7386.9	11049.9	291.9	372.0


