m/z	SN	QualityFactor	Resolution	intensity	area
1011.608	9.285	11324.1	5285.1	1394.9	527.0
1032.533	3.729	1217.1	4668.5	555.9	244.2
1045.532	17.665	10632.4	5394.2	2644.5	1019.1
1062.485	3.666	281.1	3573.0	547.4	322.8
1067.543	3.128	316.3	5251.7	466.6	189.6
1078.452	2.147	93.1	2549.6	320.6	270.2
1106.591	2.278	147.6	3204.3	340.2	237.5
1144.604	3.196	442.6	5735.6	480.0	199.9
1189.847	2.382	157.4	483.5	272.9	1500.4
1198.701	4.472	565.0	4180.6	669.0	414.9
1245.706	2.767	117.5	2352.8	410.2	478.7
1274.683	3.324	716.3	5542.3	490.9	256.1
1296.681	48.077	26388.2	7082.9	7083.9	2999.1
1314.672	4.882	2068.1	6019.4	714.9	365.4
1318.677	2.622	343.4	6764.7	382.9	177.1
1325.724	2.387	194.9	3335.5	347.6	318.6
1335.707	2.411	119.5	6415.9	350.5	171.6
1338.816	10.614	5295.3	6663.6	1541.9	728.6
1352.633	5.352	2135.9	6062.5	777.3	414.9
1354.645	3.040	211.1	4942.2	440.5	287.3
1432.648	5.238	1237.8	6071.7	745.5	434.4
1441.783	6.280	3000.4	8553.8	896.4	387.0
1449.791	3.264	182.3	5358.7	462.5	312.2
1457.762	2.749	200.3	5145.2	387.6	273.7
1464.698	3.638	106.6	2670.9	510.5	698.0
1466.743	3.584	129.6	3010.7	503.1	613.0
1468.329	2.929	249.4	10239.4	411.2	153.4
1487.540	3.215	373.0	2535.6	446.4	678.3
1501.751	70.392	57214.8	7837.4	9717.4	4886.0
1517.752	11.747	9260.4	7235.8	1613.2	888.0
1523.736	4.285	829.9	6955.0	584.9	333.0
1529.729	14.026	22924.5	8633.2	1909.0	895.9
1539.703	2.267	84.9	10208.1	306.6	122.5
1555.673	2.761	129.7	8948.2	372.8	172.0
1557.684	5.224	1532.1	5680.5	697.7	511.7
1559.674	3.090	125.9	10704.4	413.7	159.5
1570.684	17.524	1898.5	6437.4	2332.4	1514.0
1572.684	55.341	29084.7	7973.1	7397.4	3968.9
1594.691	2.614	234.5	4605.5	343.4	323.9
1637.773	9.583	5396.6	7247.8	1232.2	781.5
1666.001	8.391	6823.3	8252.9	1059.0	604.0
1822.867	2.252	286.5	4761.4	267.0	316.0
1951.002	8.872	9157.6	8975.7	904.3	634.8
1963.860	8.368	2994.5	6502.7	839.8	818.4
2033.065	10.045	10068.3	7980.7	914.4	756.3
2041.972	2.163	219.2	3705.1	194.2	342.1
2112.013	4.274	642.9	5283.2	352.3	456.0
2132.939	9.571	7920.9	4908.6	759.6	1124.4
2147.196	84.336	51273.3	9399.5	6739.2	5112.6
2163.166	3.443	595.0	7393.9	268.3	256.7
2169.156	5.482	1814.2	7526.6	424.4	401.3
2185.126	3.569	487.0	9360.1	272.2	206.8
2203.118	14.975	9287.8	9648.1	1116.0	849.4
2206.113	4.381	231.7	8344.7	324.5	284.0
2211.102	37.347	32291.9	9296.1	2763.5	2197.5
2225.111	11.053	8087.1	8996.2	803.6	662.1
2233.084	11.809	12492.2	8787.5	849.3	724.3
2248.082	4.071	373.8	6661.4	287.6	322.1
2260.045	6.066	1147.9	8920.5	424.2	356.8
2264.061	3.674	120.9	7723.5	254.9	248.2
2267.031	7.853	2269.1	7313.4	543.2	559.3
2270.020	2.066	140.3	8913.3	142.8	119.4
2283.164	19.844	17432.4	8474.5	1343.5	1217.4
2299.166	3.696	310.4	6453.4	245.7	291.0
2305.103	4.564	564.2	5063.0	301.8	456.9
2339.083	2.258	96.6	5009.6	144.2	225.7
2779.948	3.175	295.6	13280.2	127.6	101.9
2780.425	3.002	203.0	7151.5	120.3	169.3
2897.225	2.718	209.4	7695.0	93.8	159.7
2918.239	4.206	666.9	5375.9	145.4	305.1
2932.590	39.766	39239.8	10818.6	1374.5	1435.2
2948.581	3.521	364.3	8592.0	121.1	157.7
2954.556	2.502	123.2	7261.4	84.8	131.3
2988.514	4.323	445.0	8327.9	143.2	196.9
2991.539	2.022	90.4	10788.7	66.6	70.5
3038.623	2.219	125.7	7031.2	69.9	115.9
3323.777	5.981	384.1	8710.4	148.1	234.8
3337.795	8.269	1034.6	8111.8	202.5	346.9


