m/z	SN	QualityFactor	Resolution	intensity	area
1011.572	7.561	2188.7	7240.0	446.8	121.8
1045.500	41.135	28627.2	8668.5	2390.9	574.9
1067.498	3.051	229.5	5892.1	175.4	62.9
1101.454	2.484	74.5	4097.5	141.4	77.2
1153.258	2.002	102.2	660.0	93.0	347.0
1296.684	32.274	96504.5	10966.9	1755.1	488.4
1338.829	7.631	5929.5	9588.7	411.2	137.5
1352.604	2.076	129.0	7906.1	111.5	44.9
1466.805	2.016	222.5	7109.2	103.6	53.6
1529.744	2.393	207.3	5204.4	118.6	90.6
1570.679	30.553	33835.7	11006.0	1485.5	574.5
1572.691	9.321	2797.2	13269.0	450.3	144.0
1592.672	2.910	228.0	9972.0	139.4	61.2
1637.784	3.951	900.9	10491.8	186.9	82.9
1666.008	4.300	323.6	7207.8	201.2	131.6
1886.884	2.258	229.4	5721.6	94.6	99.0
2112.023	2.577	304.6	4512.1	85.8	129.9
2132.913	5.679	1238.1	4078.2	183.1	322.9
2147.198	60.021	46186.9	12474.6	1972.9	1124.8
2162.208	2.252	111.1	7218.4	72.3	70.6
2169.180	4.035	528.8	9381.0	129.3	97.6
2185.135	2.268	121.0	9710.1	71.7	52.6
2203.108	5.705	1112.2	14157.6	176.5	93.7
2211.104	35.842	25188.5	12632.2	1114.4	642.6
2225.113	12.007	15384.1	14850.0	362.6	184.3
2233.080	22.170	17157.9	13008.3	672.4	385.9
2248.080	4.779	664.7	11421.3	143.6	93.3
2250.049	2.328	139.3	10671.8	69.7	48.1
2255.067	2.112	118.3	8987.2	62.9	52.2
2259.060	2.038	74.3	17684.2	60.5	25.4
2267.027	3.920	286.8	7915.6	114.7	109.1
2269.035	3.089	104.9	27743.8	91.4	24.8
2283.173	15.881	13735.0	12782.7	457.6	272.5
2299.174	4.588	1044.1	16625.0	130.3	60.8
2305.153	7.046	1995.3	12029.2	201.0	129.8
2932.589	19.751	9510.5	13035.5	308.0	263.8
2948.606	2.445	98.1	8870.4	37.6	47.5
2954.562	2.616	72.3	16955.3	40.5	26.9
3323.772	2.353	73.4	7564.8	26.8	48.7
3337.771	3.795	182.6	8830.5	42.8	67.5


