m/z	SN	QualityFactor	Resolution	intensity	area
1011.601	8.112	3827.5	6778.9	831.0	242.2
1045.526	54.249	37040.1	6800.5	5521.8	1707.4
1068.525	2.539	152.2	4001.2	256.2	137.0
1101.455	3.441	77.2	2779.0	344.3	276.7
1118.095	2.410	101.7	1411.3	239.0	390.8
1154.683	2.371	116.4	530.3	181.9	866.9
1172.297	2.042	318.6	251.5	158.6	1633.2
1189.991	2.076	297.7	260.5	158.9	1621.9
1296.679	23.536	16239.0	8011.2	2217.9	819.2
1318.666	2.449	213.7	6316.5	228.3	115.0
1338.804	2.751	163.1	2928.7	255.6	270.9
1353.621	2.447	96.8	8384.8	227.3	88.3
1570.689	23.562	33695.6	8810.0	1918.1	930.3
2132.913	3.571	521.1	3765.1	182.8	338.9
2147.189	32.389	31129.8	10495.6	1652.0	1111.4
2169.174	3.973	771.3	10047.1	198.8	139.4
2204.116	3.100	272.7	7229.5	149.4	149.6
2211.105	38.158	52973.5	11312.0	1848.5	1211.5
2225.120	10.996	19046.3	12355.8	521.3	314.6
2233.073	21.905	27963.9	11242.4	1034.0	687.9
2248.064	5.707	769.9	8308.9	262.7	235.5
2255.056	2.583	132.1	9597.4	118.3	92.0
2268.016	4.715	467.8	5765.7	213.8	279.1
2271.026	2.718	523.3	16750.2	126.3	56.4
2283.171	12.880	9053.5	9143.0	575.1	483.1
2289.006	2.804	214.1	8460.5	125.6	113.9
2299.174	5.124	1151.9	9756.5	225.5	177.6
2305.132	6.775	1824.6	8398.6	296.7	275.7
2321.127	2.002	68.9	4464.5	86.2	148.5
2778.484	2.243	55.1	19032.3	64.8	34.0
2780.216	2.058	119.3	2790.7	53.4	198.3
2918.259	2.498	173.3	6577.3	63.9	108.0
2932.591	16.716	14655.4	11884.8	427.1	404.0
2948.592	2.207	109.0	9761.3	55.5	64.0
2954.569	3.104	155.9	17439.4	77.3	49.4
2988.534	2.510	75.6	13404.7	61.4	55.0
3323.779	4.411	395.6	7786.5	82.7	146.7
3337.801	7.075	1291.2	9604.2	132.6	193.8


