m/z	SN	QualityFactor	Resolution	intensity	area
1011.589	19.408	10788.7	6423.8	2561.5	786.4
1045.522	68.167	27826.0	6649.9	8849.6	2783.4
1067.524	5.704	1698.3	5096.5	735.2	307.4
1076.460	2.290	51.6	6493.8	294.1	99.2
1101.453	4.028	152.5	3407.4	511.0	335.1
1103.459	2.581	105.2	4349.5	327.7	168.9
1153.727	2.888	135.8	479.0	277.4	1462.7
1173.511	2.042	498.3	252.9	200.2	2055.3
1189.535	2.316	416.2	257.4	225.6	2322.3
1296.681	37.012	22949.9	8029.4	4371.4	1628.1
1338.820	11.262	5978.2	8049.7	1318.8	515.1
1352.610	3.813	757.9	7220.0	444.6	197.6
1354.610	2.498	102.2	13532.2	293.7	72.1
1466.804	4.154	1254.3	10458.4	457.8	167.9
1529.742	3.488	447.9	6466.1	361.3	223.5
1570.685	18.888	34070.4	9314.8	1903.5	874.8
1625.916	2.353	193.9	2761.7	229.1	372.1
1666.005	7.530	2268.4	6854.3	713.6	490.3
2132.910	3.978	922.0	4182.2	247.1	425.1
2147.190	30.647	18870.1	10165.8	1926.1	1335.7
2169.160	2.441	288.9	6903.7	148.5	153.3
2195.932	2.154	199.3	3667.9	125.6	251.0
2203.109	5.798	3754.2	10417.7	341.8	239.3
2211.107	68.470	36270.2	10488.3	4004.6	2829.0
2225.112	19.538	37740.2	11424.1	1144.8	750.8
2233.075	33.436	33949.1	11433.1	1917.6	1259.1
2245.721	3.819	521.2	5515.0	202.7	326.9
2248.074	7.626	3543.3	8374.5	431.7	387.7
2250.048	4.405	261.5	18133.9	250.5	102.9
2255.054	3.303	465.6	10457.5	187.9	140.4
2262.046	2.628	60.4	11023.6	147.6	100.9
2267.022	12.740	4551.0	8455.2	712.7	637.5
2270.024	7.268	2798.3	10908.9	404.0	281.3
2283.173	28.573	22119.6	10321.2	1587.4	1171.8
2289.007	4.154	824.3	8134.3	227.0	213.4
2291.008	2.829	62.1	31469.2	160.7	40.0
2298.634	2.209	31.6	8808.2	119.8	112.7
2299.170	10.114	3569.6	10454.3	552.3	404.8
2304.142	3.968	45.0	46507.3	222.2	36.7
2305.112	6.048	708.3	4661.4	326.5	537.3
2321.141	4.348	215.3	13271.2	232.4	134.6
2323.020	2.958	201.7	4321.7	156.5	282.6
2324.933	4.240	222.7	35752.4	226.1	50.9
2779.690	2.242	160.7	2630.5	70.9	278.5
2807.297	2.406	164.3	5167.6	83.9	166.6
2894.974	5.020	468.2	5255.8	159.9	341.5
2898.227	3.626	911.4	8319.4	112.3	177.5
2918.237	6.090	571.7	5238.2	190.6	409.4
2932.590	48.873	37461.7	11094.1	1544.4	1566.7
2948.587	8.009	1384.8	7992.3	247.9	346.1
2954.573	4.522	249.7	7994.9	139.4	196.4
2989.508	4.148	466.9	9867.7	125.4	145.3
3044.463	2.447	112.4	6047.6	70.0	135.9
3323.769	6.709	1046.3	7736.0	151.1	270.9
3337.791	13.049	13034.4	11696.0	291.8	353.5


