m/z	SN	QualityFactor	Resolution	intensity	area
1011.593	32.610	29049.0	6097.9	5633.7	1844.0
1032.523	3.394	187.4	5488.0	584.6	218.5
1045.513	44.093	20136.2	6638.6	7640.2	2407.0
1067.517	5.181	3364.0	6555.1	886.5	292.9
1105.541	3.044	338.4	4473.1	518.4	263.0
1198.689	4.778	841.9	6295.6	834.7	345.4
1235.624	3.548	741.9	6727.0	616.9	249.3
1267.662	3.741	208.4	4130.7	643.8	444.3
1274.687	3.203	635.0	8062.5	554.5	205.2
1296.682	52.606	30065.9	7689.8	9055.0	3525.3
1303.624	3.734	340.6	4742.4	638.8	403.5
1314.673	5.761	4853.6	7399.7	985.5	411.0
1318.662	3.801	1840.8	9211.7	656.9	225.1
1325.745	7.444	7687.3	7768.3	1267.2	507.5
1338.818	14.829	15060.6	8046.1	2520.7	988.7
1352.638	3.805	360.6	4840.4	644.9	426.6
1354.613	3.034	334.9	8544.5	515.2	194.3
1377.651	2.935	235.2	4517.7	494.1	361.5
1428.716	10.674	17646.0	9168.5	1785.0	710.2
1459.697	5.777	1373.5	7257.3	965.1	487.9
1465.723	4.657	126.5	3835.2	771.1	736.9
1493.733	2.359	116.0	7441.5	386.0	195.7
1495.772	6.370	2234.1	7475.4	1043.5	529.2
1501.742	9.569	6622.0	9037.2	1568.8	678.9
1510.733	4.202	2077.6	12054.5	695.5	241.5
1517.743	4.064	2769.3	11638.6	657.8	232.8
1520.755	2.510	165.2	7430.3	407.1	215.0
1529.739	14.754	22259.3	8647.8	2391.6	1125.2
1546.785	3.631	1075.0	12581.7	594.2	205.1
1554.735	2.015	113.8	5721.5	321.2	230.4
1562.801	5.240	4807.2	11127.7	844.6	329.3
1570.683	33.193	13027.7	7498.0	5269.9	2972.2
1572.683	12.693	3746.4	9565.1	2037.0	900.8
1580.765	4.392	1194.2	9307.6	697.0	321.3
1585.764	2.574	217.9	3980.0	403.9	433.9
1628.780	4.546	527.0	5463.6	703.5	580.8
1637.769	5.806	1570.9	7841.7	905.7	531.8
1655.816	2.458	342.1	12638.9	387.1	144.1
1665.997	10.542	3947.3	7337.0	1613.2	1041.5
1694.795	2.973	473.3	4025.7	450.8	558.0
1750.929	2.362	212.9	2553.9	348.5	700.3
1776.896	2.076	410.1	10019.2	306.8	166.2
1833.893	2.817	148.1	5409.2	401.1	424.8
1886.904	2.096	178.5	5397.6	285.0	317.1
1950.998	2.604	336.3	6138.2	326.7	331.9
1963.866	3.372	458.0	5243.2	413.2	497.4
2033.082	2.069	443.0	7079.0	228.4	211.8
2112.001	5.351	850.7	6027.1	538.1	616.3
2116.088	2.528	113.1	5792.2	252.1	296.2
2130.131	2.919	100.4	4310.6	285.1	459.6
2132.912	12.592	9026.4	5491.4	1220.1	1645.5
2147.196	91.800	55641.3	9433.5	8924.7	6755.0
2162.139	2.225	141.2	5941.7	211.3	249.2
2169.170	6.592	4518.8	11814.1	625.1	375.4
2185.130	3.027	195.3	8884.1	282.3	227.5
2203.111	10.474	3498.0	8471.7	944.7	807.0
2206.111	3.201	69.5	7837.7	287.9	265.8
2211.102	50.515	36235.8	9980.6	4533.5	3362.6
2225.111	13.726	9750.6	9583.4	1215.8	938.1
2233.069	18.709	22051.8	10284.8	1658.9	1200.9
2248.076	4.135	295.4	7213.3	358.1	369.9
2260.059	2.717	135.9	8099.9	231.8	214.5
2267.034	6.202	467.5	5378.9	525.9	734.0
2268.588	2.118	91.6	7767.8	179.6	172.5
2270.015	3.681	362.8	13517.9	316.9	177.0
2283.166	27.640	21144.0	8962.5	2302.3	1974.4
2299.169	7.516	1762.5	8748.0	617.0	539.2
2305.133	6.835	1049.6	6293.6	558.2	684.0
2321.118	2.557	225.6	4508.2	205.3	349.9
2497.236	3.407	459.2	6462.3	226.2	301.5
2707.386	2.940	367.8	7632.3	149.9	192.5
2779.427	4.817	253.9	5379.1	228.9	429.2
2780.947	3.287	54.6	19556.7	157.3	82.9
2896.217	3.527	433.5	3251.3	138.6	463.9
2898.254	4.104	308.7	9400.2	170.3	198.0
2918.224	9.675	1159.8	5864.5	388.9	754.4
2932.589	71.150	37688.1	10023.5	2865.5	3223.8
2948.584	6.885	1201.9	8829.4	271.7	345.5
2954.539	4.849	294.0	8824.6	190.1	241.6
2970.547	2.381	91.2	14027.2	92.6	77.6
2989.523	3.878	341.1	8074.3	146.8	208.3
3309.693	3.226	240.6	7451.1	87.3	178.5
3323.759	12.804	3581.4	8479.3	350.6	574.6
3337.784	18.606	10454.5	10129.4	504.5	703.2


