m/z	SN	QualityFactor	Resolution	intensity	area
1011.617	9.708	11800.3	5315.4	1242.8	466.5
1045.539	74.855	38451.2	5913.9	9561.5	3394.7
1067.526	5.327	1094.6	4290.4	671.6	331.5
1078.027	2.567	205.7	5813.5	324.8	127.4
1078.468	2.072	75.5	3619.8	260.8	155.8
1095.998	2.083	116.4	3011.3	259.8	190.0
1101.453	4.369	73.6	3029.8	542.8	397.5
1117.992	3.538	97.9	3796.3	438.1	262.5
1153.642	3.271	192.3	454.7	307.6	1706.1
1169.473	3.493	76.0	1844.6	422.8	649.9
1174.060	2.776	235.1	348.2	245.6	1917.3
1189.424	2.491	363.5	255.4	237.2	2467.7
1296.680	31.019	27678.9	7304.1	3623.0	1486.0
1338.836	4.404	426.4	4565.4	506.8	349.1
1352.631	3.315	515.7	6044.4	381.1	203.1
1408.567	2.004	443.1	7625.7	221.7	100.4
1570.686	44.390	55727.1	8330.0	4444.0	2284.7
1592.653	2.562	157.0	5430.6	253.6	201.3
1598.679	2.420	472.0	9658.7	238.4	106.5
1666.022	2.584	188.2	2927.9	243.2	391.0
2112.038	3.228	358.0	3308.7	207.7	427.8
2132.912	8.579	5129.5	4590.1	543.6	843.5
2147.197	86.880	63833.9	9714.6	5464.0	4019.3
2163.206	2.448	292.0	3815.1	151.0	278.0
2169.168	8.724	4346.7	9010.7	541.5	426.9
2185.125	5.222	660.0	9344.6	318.0	242.1
2203.107	13.490	6190.1	9350.7	802.8	623.6
2206.107	4.239	127.5	7943.5	251.5	228.7
2211.098	41.851	36682.7	9734.6	2477.4	1883.2
2225.107	14.157	14245.5	9827.8	830.3	629.2
2233.077	20.771	17166.6	9705.4	1204.0	926.3
2245.653	2.681	68.1	7563.9	153.4	153.8
2247.044	3.976	394.3	4618.2	226.9	364.5
2249.052	6.153	1359.0	17081.5	351.0	156.4
2259.055	4.928	719.0	8053.7	278.6	260.1
2263.088	2.370	55.5	5893.7	134.0	170.8
2267.010	6.829	1065.8	5527.3	383.3	521.9
2270.016	5.178	3575.7	15081.0	291.2	146.3
2280.980	2.075	37.3	3716.2	97.5	244.6
2283.164	20.945	12652.2	8755.6	1162.4	1018.3
2289.006	2.605	147.2	5433.1	143.9	201.4
2299.159	6.434	1096.5	7004.6	353.2	386.2
2300.652	2.147	51.7	10809.5	118.7	88.0
2305.118	7.183	1018.1	5362.0	392.0	560.4
2305.640	2.263	55.5	14073.2	123.5	69.7
2707.401	3.024	296.3	7445.4	113.5	148.8
2779.537	3.986	254.5	3278.0	131.9	417.6
2918.250	3.180	246.5	4868.7	98.2	223.3
2932.590	27.183	20286.1	10322.3	839.3	912.1
2948.590	4.523	350.6	7495.6	137.6	204.8
2954.564	2.120	162.9	5178.6	64.1	138.9
2989.497	2.452	109.7	6557.3	72.0	124.8
3309.756	2.560	122.5	5471.7	57.7	143.4
3323.773	8.790	1296.5	7639.9	196.2	354.3
3337.808	15.197	7274.2	9107.9	337.7	520.2


