m/z	SN	QualityFactor	Resolution	intensity	area
1011.594	19.688	24406.5	9672.1	1134.5	235.1
1045.525	108.555	68307.6	9995.0	6354.5	1346.0
1059.499	2.192	80.0	4134.9	124.5	65.6
1067.513	11.117	13369.3	9525.4	633.8	146.8
1076.462	2.193	40.6	4271.0	123.9	62.1
1084.020	2.464	64.5	5591.0	139.0	54.1
1095.982	2.907	156.2	6953.9	163.9	52.2
1101.464	5.546	401.5	4865.8	311.3	144.0
1102.991	3.461	66.5	4586.2	193.8	94.6
1103.469	2.929	263.0	6731.5	164.4	55.7
1117.977	3.044	93.6	4973.6	170.5	77.9
1170.318	2.726	85.6	2042.2	150.7	185.3
1189.166	2.045	82.6	799.0	97.2	316.2
1274.715	2.410	580.8	11477.3	129.6	33.4
1296.682	53.122	30718.3	12342.5	2888.2	730.5
1314.682	2.697	295.7	7278.4	144.9	60.5
1318.665	4.706	921.4	9859.6	250.6	80.0
1338.824	8.932	1989.2	8898.5	480.6	170.4
1352.598	4.454	156.3	9450.2	240.1	81.1
1529.730	4.798	388.4	8747.8	234.6	106.7
1570.683	37.324	71324.9	13454.4	1786.1	577.4
1592.667	2.336	209.5	7740.8	110.6	61.8
1665.994	2.292	136.6	5369.5	104.7	91.6
2132.919	3.111	457.2	4378.7	101.7	162.2
2147.196	30.588	45562.9	13671.3	1014.5	523.3
2169.144	2.132	145.7	6581.1	67.8	72.6
2203.109	4.927	1141.3	19089.6	151.9	61.5
2211.102	55.036	63258.3	14902.3	1713.3	849.4
2225.115	15.555	20623.2	15128.6	474.7	234.7
2233.083	45.532	82633.8	15832.6	1368.3	656.1
2248.077	9.883	2316.3	16081.6	300.9	144.5
2255.061	6.576	2380.6	15211.3	198.0	100.3
2266.036	3.101	66.2	8883.3	90.3	75.4
2268.016	8.439	1215.2	10408.2	245.6	178.7
2272.028	2.255	100.4	9622.8	65.8	51.4
2283.175	18.170	11628.5	14708.4	522.4	276.8
2289.010	5.152	385.7	11434.3	147.7	98.3
2299.170	7.847	6257.4	16256.5	221.4	110.7
2305.129	7.508	1217.7	9759.7	210.7	170.1
2321.078	2.474	87.5	5406.8	68.5	97.0
2324.944	2.000	35.4	12082.0	55.2	35.5
2779.942	2.231	112.8	5254.2	41.4	79.7
2896.154	2.549	184.6	4624.0	42.0	100.0
2918.253	2.751	119.1	5398.3	44.9	92.2
2932.590	21.791	10531.7	14401.9	353.9	274.0
2948.597	3.207	169.2	10684.3	51.7	54.2
2954.561	2.510	113.7	10725.5	40.1	41.8
3323.802	4.065	283.3	8948.5	48.3	74.8
3337.810	7.235	920.6	12653.7	85.0	94.3


