m/z	SN	QualityFactor	Resolution	intensity	area
1045.515	11.749	4931.1	7823.7	517.1	136.9
1102.001	2.429	87.5	2334.8	106.4	102.0
1117.964	2.405	79.8	3636.0	105.4	66.0
1296.680	13.839	8018.4	11352.7	591.8	160.7
1467.318	27.172	9978.5	14294.5	1118.5	298.1
1570.687	11.338	7862.6	13312.1	441.7	143.3
2103.205	3.511	567.2	16616.4	95.6	39.8
2112.029	3.462	406.4	3883.6	92.0	162.8
2132.925	7.595	1074.7	4515.1	198.6	309.7
2147.195	104.346	148104.1	15706.3	2713.8	1255.5
2169.164	3.880	493.7	16274.3	99.8	45.8
2203.100	5.061	923.2	10678.6	125.2	86.1
2211.100	22.104	36369.4	14815.0	544.0	274.3
2225.110	7.900	3258.7	13289.4	190.6	105.6
2233.055	5.485	1661.9	12772.5	132.5	77.4
2267.036	2.293	120.7	5971.7	53.6	67.1
2283.166	10.219	3308.3	12889.5	236.9	140.1
2299.159	3.476	503.2	10572.1	79.5	58.1
2897.266	5.347	767.4	6133.9	72.1	136.6
2918.264	8.895	763.7	6121.8	119.5	218.5
2932.591	104.094	101377.3	17624.1	1422.7	918.8
2948.576	5.500	1014.7	15989.2	73.5	52.0
3323.760	2.934	112.4	9092.7	29.0	43.8
3337.778	2.886	128.1	8610.9	28.2	45.7


