m/z	SN	QualityFactor	Resolution	intensity	area
1011.591	11.568	3386.3	7954.7	452.6	111.5
1045.516	42.775	46434.9	10509.2	1663.1	335.2
1067.507	4.225	712.4	7290.3	163.5	48.3
1101.459	2.262	99.1	2901.7	87.0	66.7
1101.988	3.173	216.6	8104.0	122.1	34.5
1103.986	2.118	80.3	4943.3	81.4	37.1
1117.972	2.398	79.2	4034.3	91.9	52.1
1153.306	2.020	64.7	788.3	67.6	208.6
1296.680	12.407	12505.8	12010.7	469.4	121.1
1338.813	2.421	89.4	9802.5	89.2	28.4
1570.688	11.638	10214.1	11061.4	395.6	151.6
2147.196	13.421	11943.2	15586.2	316.0	146.0
2211.098	13.037	11221.6	13260.0	290.4	161.0
2225.118	4.367	441.8	13333.5	96.3	53.0
2233.087	7.272	3510.9	13042.7	162.1	93.0
2247.062	2.105	70.3	6580.4	45.6	51.0
2283.173	7.119	5634.6	15704.2	151.6	76.1
2305.150	3.138	203.2	7114.9	64.6	69.5
2932.591	9.223	2025.8	12075.2	121.6	111.3


