m/z	SN	QualityFactor	Resolution	intensity	area
1011.578	17.379	12674.4	9179.3	1072.5	230.2
1033.543	2.886	421.3	6766.9	177.6	52.8
1045.507	38.077	22486.6	9462.3	2369.6	521.8
1067.509	4.325	251.3	6236.5	264.3	90.4
1274.717	3.466	489.4	9400.9	205.2	63.3
1296.680	45.600	106836.5	11408.8	2669.7	718.2
1314.665	2.107	183.7	6354.8	122.4	58.1
1318.642	3.307	439.6	6317.1	192.7	93.1
1338.816	8.691	1999.5	8959.9	503.9	175.3
1352.613	5.106	351.1	7121.0	295.1	133.2
1466.804	5.256	2520.1	11421.3	296.7	99.0
1529.722	4.790	532.0	8064.4	260.1	128.1
1570.686	23.439	70820.7	12511.5	1269.2	439.4
1666.005	3.711	404.5	8445.1	186.2	103.7
2132.016	2.836	252.2	4251.2	100.0	168.6
2147.197	30.961	39218.8	12967.8	1088.8	594.4
2169.186	3.496	406.3	14652.5	121.8	58.7
2204.107	3.481	291.9	12859.8	117.5	66.6
2211.099	29.725	63658.7	14008.1	988.9	522.8
2225.110	8.644	7572.4	13109.9	286.9	163.3
2233.077	25.901	33228.1	15522.5	852.2	418.9
2247.079	5.234	576.1	11023.8	169.2	115.1
2255.063	2.839	138.8	14767.4	90.8	46.7
2261.050	2.022	42.6	10696.3	64.5	45.3
2267.994	3.412	317.8	6449.4	108.0	125.6
2271.046	2.346	181.3	10900.1	74.4	51.5
2283.160	7.175	1011.0	8768.8	223.9	193.7
2299.155	2.208	75.3	8722.1	68.0	59.4
2305.125	3.086	334.6	5001.2	94.6	145.1
2720.269	2.653	218.2	14514.8	58.2	39.5
2895.034	3.537	309.3	3556.7	63.4	194.7
2898.266	2.964	121.6	9510.5	55.4	63.0
2918.248	4.692	330.3	5578.8	85.1	172.5
2932.591	42.768	19061.9	13101.0	776.0	666.7
2948.588	9.822	1879.8	11474.4	177.1	172.7
2954.577	4.329	568.9	15698.5	78.7	55.9
2970.535	3.075	183.4	13694.9	54.4	45.2
2988.520	2.753	102.4	9612.2	48.3	57.6
3324.764	2.007	37.9	13347.5	26.9	27.8
3338.764	2.429	65.1	8958.8	31.9	49.3


